Filename,Common Coordinates
ROI_20220818_unstim_open_L4_S2L.tif,2
ROI_20220818_unstim_open_L4_S2R.tif,5
ROI_20220818_unstim_open_L4_S3R.tif,0
ROI_20220818_unstim_open_L4_S4L.tif,1
ROI_20220818_unstim_open_L4_S4R.tif,3
ROI_20220818_unstim_open_L4_S5L.tif,0
ROI_20220818_unstim_open_L4_S5R.tif,0
ROI_20220819_unstim_mock_L1_S2L.tif,11
ROI_20220819_unstim_mock_L1_S3L.tif,0
ROI_20220819_unstim_mock_L1_S3R.tif,0
ROI_20220819_unstim_mock_L1_S4L.tif,7
ROI_20220819_unstim_mock_L1_S5L.tif,3
ROI_20220819_unstim_mock_L1_S5R.tif,0
ROI_20220819_unstim_mock_L2_S2L.tif,5
ROI_20220819_unstim_mock_L2_S3L.tif,1
ROI_20220819_unstim_mock_L2_S4L.tif,2
ROI_20220819_unstim_mock_L2_S4R.tif,15
ROI_20220819_unstim_mock_L2_S5R.tif,0
ROI_20220819_unstim_mock_L3_S3L.tif,1
ROI_20220819_unstim_open_L5_S2R.tif,1
ROI_20220819_unstim_open_L5_S3R.tif,2
ROI_20220819_unstim_open_L5_S4R.tif,0
ROI_20220819_unstim_open_L5_S5R.tif,0
ROI_20220819_unstim_open_L6_S3L.tif,3
ROI_20220819_unstim_open_L6_S3R.tif,1
ROI_20220819_unstim_open_L6_S4L.tif,0
ROI_20220819_unstim_open_L6_S5L.tif,0
ROI_20220822_stim_L1_S2R.tif,7
ROI_20220822_stim_L1_S3L.tif,4
ROI_20220822_stim_L1_S4R.tif,0
ROI_20220822_stim_L2_S2L.tif,1
ROI_20220822_stim_L2_S3R.tif,0
ROI_20220822_stim_L2_S4R.tif,0
ROI_20220822_stim_L2_S5R.tif,0
ROI_20220822_stim_L3_S2R.tif,1
ROI_20220822_stim_L3_S5R.tif,0
ROI_20220822_stim_L4_S3L.tif,2
ROI_20220822_stim_L4_S4L.tif,0
ROI_20220822_stim_L4_S4R.tif,0
ROI_20220822_stim_L4_S5L.tif,0
ROI_20220822_stim_L4_S5R.tif,0
ROI_20220822_stim_L5_S2R.tif,6
ROI_20220822_stim_L5_S3L.tif,3
ROI_20220822_stim_L5_S3R.tif,0
ROI_20220822_stim_L5_S4L.tif,0
ROI_20220822_stim_L5_S5L.tif,1
ROI_20220822_stim_L6_S2L.tif,2
ROI_20220822_stim_L6_S2R.tif,2
ROI_20220822_stim_L6_S3L.tif,0
ROI_20220822_stim_L6_S3R.tif,0
ROI_20220822_stim_L6_S4L.tif,0
ROI_20220822_stim_L6_S5L.tif,0
ROI_20220822_unstim_mock_L3_S3R.tif,2
ROI_20220822_unstim_mock_L3_S2R.tif,4
ROI_20220822_unstim_mock_L3_S4R.tif,0
ROI_20220822_unstim_mock_L3_S5R.tif,0
ROI_20220822_unstim_mock_L4_S2L.tif,9
ROI_20220822_unstim_mock_L4_S2R.tif,4
ROI_20220822_unstim_mock_L4_S3R.tif,2
ROI_20220822_unstim_mock_L4_S4R.tif,2
ROI_20220822_unstim_mock_L4_S5L.tif,1
ROI_20220822_unstim_mock_L4_S5R.tif,0
ROI_20220822_stim_L1_S2L.tif,5
ROI_20220818_unstim_open_L1_S2R.tif,1
ROI_20220818_unstim_open_L1_S3L.tif,0
ROI_20220818_unstim_open_L1_S3R.tif,10
ROI_20220818_unstim_open_L1_S4L.tif,1
ROI_20220818_unstim_open_L1_S4R.tif,0
ROI_20220818_unstim_open_L1_S5L.tif,0
ROI_20220818_unstim_open_L2_S2L.tif,1
ROI_20220818_unstim_open_L2_S2R.tif,4
ROI_20220818_unstim_open_L3_S2L.tif,4
ROI_20220818_unstim_open_L3_S2R.tif,2
ROI_20220818_unstim_open_L3_S3L.tif,0
ROI_20220818_unstim_open_L3_S3R.tif,3
ROI_20220818_unstim_open_L3_S4R.tif,1
ROI_20220819_unstim_open_L5_S5L.tif,0
ROI_20220819_unstim_open_L6_S2L.tif,9
