Filename,Common Coordinates
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S3R46.tif,0
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S3R60.tif,22
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S2L57.tif,14
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L2_S2R51.tif,8
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S5R62.tif,9
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L2_S2L56.tif,1
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S4L58.tif,17
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S2R45.tif,10
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S2R59.tif,13
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S4R61.tif,16
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L2_S3R52.tif,1
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S4R47.tif,0
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L1_S2R53.tif,3
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S2L44.tif,46
