Filename,Common Coordinates
ROI_20220115_Kstim_130122_No1_control_L1_S2L.tif,76
ROI_20220115_Kstim_130122_No1_control_L1_S2R.tif,52
ROI_20220115_Kstim_130122_No1_control_L1_S3R.tif,34
ROI_20220115_Kstim_130122_No1_control_L1_S4L.tif,17
ROI_20220115_Kstim_130122_No1_control_L1_S4R.tif,22
ROI_20220115_Kstim_130122_No1_control_L1_S5L.tif,21
ROI_20220115_Kstim_130122_No1_control_L1_S5R.tif,1
ROI_20220115_Kstim_130122_No1_control_L2_S2L.tif,30
ROI_20220115_Kstim_130122_No1_control_L2_S2R.tif,27
ROI_20220115_Kstim_130122_No1_control_L2_S3L.tif,29
ROI_20220115_Kstim_130122_No1_control_L2_S3R.tif,16
ROI_20220115_Kstim_130122_No1_control_L2_S4L.tif,1
ROI_20220115_Kstim_130122_No1_control_L2_S4R.tif,2
ROI_20220115_Kstim_130122_No1_control_L2_S5L.tif,22
ROI_20220115_Kstim_130122_No1_control_L2_S5R.tif,13
ROI_20220115_Kstim_130122_No1_control_L3_S2L.tif,56
ROI_20220115_Kstim_130122_No1_control_L3_S2R.tif,30
ROI_20220115_Kstim_130122_No1_control_L3_S3L.tif,16
ROI_20220115_Kstim_130122_No1_control_L3_S3R.tif,28
ROI_20220115_Kstim_130122_No1_control_L3_S4L.tif,3
ROI_20220115_Kstim_130122_No1_control_L3_S4R.tif,4
ROI_20220115_Kstim_130122_No1_control_L3_S5L.tif,2
ROI_20220115_Kstim_130122_No1_control_L4_S3R.tif,57
ROI_20220115_Kstim_130122_No1_control_L4_S4R.tif,4
ROI_20220115_Kstim_130122_No1_control_L4_S5R.tif,2
ROI_20220115_Kstim_130122_No1_control_L5_S2L.tif,21
ROI_20220115_Kstim_130122_No1_control_L5_S2R.tif,17
ROI_20220115_Kstim_130122_No1_control_L5_S3L.tif,12
ROI_20220115_Kstim_130122_No1_control_L5_S3R.tif,8
ROI_20220115_Kstim_130122_No1_control_L5_S4L.tif,25
ROI_20220115_Kstim_130122_No1_control_L5_S4R.tif,10
ROI_20220115_Kstim_130122_No1_control_L5_S5R.tif,3
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S2L.tif,17
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S2R.tif,11
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S3L.tif,3
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S3R.tif,8
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S4L.tif,6
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S4R.tif,3
ROI_20220115_Kstim_130122_No1_lac_RNAi_L1_S5R.tif,0
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S2L.tif,1
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S2R.tif,14
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S3L.tif,1
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S3R.tif,3
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S4L.tif,4
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S4R.tif,3
ROI_20220115_Kstim_130122_No1_lac_RNAi_L2_S5R.tif,0
ROI_20220115_Kstim_130122_No1_lac_RNAi_L3_S2L.tif,13
ROI_20220115_Kstim_130122_No1_lac_RNAi_L3_S3L.tif,7
ROI_20220115_Kstim_130122_No1_lac_RNAi_L3_S4L.tif,2
ROI_20220115_Kstim_130122_No1_lac_RNAi_L3_S5L.tif,0
