Filename,Common Coordinates
ROI_CPTI_lac_Repo_RFP_rescreen_L3_NMJ_S5L_Multichannel Z-Stack_20200911_1157_C3.tif,3
ROI_CPTI_lac_Repo_RFP_rescreen_L3_NMJ_S5R_Multichannel Z-Stack_20200911_1156_C3.tif,0
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S4R_Multichannel Z-Stack_20200911_1150_C3.tif,3
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S3R_Multichannel Z-Stack_20200911_1143_C3.tif,1
ROI_CPTI_lac_Repo_RFP_rescreen_L4_NMJ_S4R_Multichannel Z-Stack_20200911_1163_C3.tif,8
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S5R_Multichannel Z-Stack_20200911_1154_C3.tif,13
ROI_CPTI_lac_Repo_RFP_rescreen_L4_NMJ_S3R_Multichannel Z-Stack_20200911_1162_C3.tif,22
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S4L_Multichannel Z-Stack_20200911_1147_C3.tif,10
ROI_CPTI_lac_Repo_RFP_rescreen_L5_NMJ_S4R_Multichannel Z-Stack_20200911_1177_C3.tif,2
ROI_CPTI_lac_Repo_RFP_rescreen_L5_NMJ_S3L_Multichannel Z-Stack_20200911_1179_C3.tif,16
ROI_CPTI_lac_Repo_RFP_rescreen_L5_NMJ_S3R_Multichannel Z-Stack_20200911_1176_C3.tif,7
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S3R_Multichannel Z-Stack_20200911_1149_C3.tif,15
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S4R_Multichannel Z-Stack_20200911_1144_C3.tif,3
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S3L_Multichannel Z-Stack_20200911_1146_C3.tif,13
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S5L_Multichannel Z-Stack_20200911_1153_C3.tif,6
ROI_CPTI_lac_Repo_RFP_rescreen_L4_NMJ_S5R_Multichannel Z-Stack_20200911_1164_C3.tif,2
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S3L_Multichannel Z-Stack_20200911_1151_C3.tif,12
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S5L_Multichannel Z-Stack_20200911_1148_C3.tif,8
ROI_CPTI_lac_Repo_RFP_rescreen_L1_NMJ_S5R_Multichannel Z-Stack_20200911_1145_C3.tif,7
ROI_CPTI_lac_Repo_RFP_rescreen_L2_NMJ_S4L_Multichannel Z-Stack_20200911_1152_C3.tif,8
ROI_CPTI_lac_Repo_RFP_rescreen_L5_NMJ_S5R_Multichannel Z-Stack_20200911_1178_C3.tif,4
ROI_CPTI_lac_Repo_RFP_rescreen_L4_NMJ_S4L_Multichannel Z-Stack_20200911_1161_C3.tif,8
ROI_CPTI_lac_Repo_RFP_rescreen_L5_NMJ_S4L_Multichannel Z-Stack_20200911_1180_C3.tif,19
ROI_CPTI_lac_Repo_RFP_rescreen_L3_NMJ_S4L_Multichannel Z-Stack_20200911_1158_C3.tif,1
