Filename,Common Coordinates
ROI_20220822_stim_L4_S5R_C2_cropped.tif,0
ROI_20220822_stim_L6_S3L_C2_cropped.tif,4
ROI_20220822_stim_L5_S4L_C2_cropped.tif,3
ROI_20220818_unstim_open_L4_S2R_C2_cropped.tif,15
ROI_20220819_unstim_open_L6_S2L_C2_cropped.tif,32
ROI_20220822_stim_L2_S4R_C2_cropped.tif,5
ROI_20220819_unstim_open_L5_S5L_C2_cropped.tif,5
ROI_20220818_unstim_open_L1_S4R_C2_cropped.tif,9
ROI_20220818_unstim_open_L3_S2L_C2_cropped.tif,16
ROI_20220818_unstim_open_L1_S3R_C2_cropped.tif,66
ROI_20220822_stim_L1_S4R_C2_cropped.tif,6
ROI_20220822_stim_L2_S3R_C2_cropped.tif,7
ROI_20220819_unstim_open_L6_S5L_C2_cropped.tif,2
ROI_20220818_unstim_open_L4_S5R_C2_cropped.tif,0
ROI_20220822_stim_L5_S3L_C2_cropped.tif,10
ROI_20220822_stim_L6_S4L_C2_cropped.tif,0
ROI_20220818_unstim_open_L1_S2R_C2_cropped.tif,10
ROI_20220819_unstim_open_L6_S4L_C2_cropped.tif,5
ROI_20220818_unstim_open_L4_S4R_C2_cropped.tif,7
ROI_20220822_stim_L6_S5L_C2_cropped.tif,1
ROI_20220822_stim_L5_S5L_C2_cropped.tif,7
ROI_20220822_stim_L4_S4R_C2_cropped.tif,1
ROI_20220822_stim_L6_S2L_C2_cropped.tif,19
ROI_20220818_unstim_open_L4_S3R_C2_cropped.tif,8
ROI_20220822_stim_L1_S2R_C2_cropped.tif,23
ROI_20220819_unstim_open_L6_S3L_C2_cropped.tif,11
ROI_20220822_stim_L2_S5R_C2_cropped.tif,2
ROI_20220818_unstim_open_L2_S2R_C2_cropped.tif,18
ROI_20220818_unstim_open_L3_S3L_C2_cropped.tif,8
ROI_20220818_unstim_open_L4_S2L_C2_cropped.tif,11
ROI_20220822_stim_L6_S3R_C2_cropped.tif,10
ROI_20220822_stim_L4_S5L_C2_cropped.tif,9
ROI_20220818_unstim_open_L3_S2R_C2_cropped.tif,11
ROI_20220818_unstim_open_L1_S4L_C2_cropped.tif,3
ROI_20220822_stim_L3_S5R_C2_cropped.tif,4
ROI_20220819_unstim_open_L5_S5R_C2_cropped.tif,6
ROI_20220822_stim_L1_S3L_C2_cropped.tif,15
ROI_20220819_unstim_open_L5_S2R_C2_cropped.tif,33
ROI_20220822_stim_L3_S2R_C2_cropped.tif,18
ROI_20220818_unstim_open_L1_S3L_C2_cropped.tif,9
ROI_20220822_stim_L5_S3R_C2_cropped.tif,12
ROI_20220818_unstim_open_L4_S5L_C2_cropped.tif,3
ROI_20220822_stim_L2_S2L_C2_cropped.tif,5
ROI_20220819_unstim_open_L5_S3R_C2_cropped.tif,6
ROI_20220818_unstim_open_L3_S4R_C2_cropped.tif,4
ROI_20220822_stim_L4_S3L_C2_cropped.tif,15
ROI_20220822_stim_L5_S2R_C2_cropped.tif,17
ROI_20220818_unstim_open_L4_S4L_C2_cropped.tif,9
ROI_20220822_stim_L6_S2R_C2_cropped.tif,1
ROI_20220822_stim_L4_S4L_C2_cropped.tif,17
ROI_20220818_unstim_open_L2_S2L_C2_cropped.tif,10
ROI_20220818_unstim_open_L3_S3R_C2_cropped.tif,27
ROI_20220818_unstim_open_L1_S5L_C2_cropped.tif,4
ROI_20220819_unstim_open_L5_S4R_C2_cropped.tif,6
ROI_20220822_stim_L1_S2L_C2_cropped.tif,16
ROI_20220819_unstim_open_L6_S3R_C2_cropped.tif,11
