Filename,Common Coordinates
ROI_20220818_unstim_open_L4_S5L_C3_cropped.tif,35
ROI_20220822_stim_L5_S3R_C3_cropped.tif,30
ROI_20220818_unstim_open_L1_S3L_C3_cropped.tif,33
ROI_20220822_stim_L3_S2R_C3_cropped.tif,50
ROI_20220819_unstim_open_L5_S2R_C3_cropped.tif,60
ROI_20220822_stim_L1_S3L_C3_cropped.tif,69
ROI_20220819_unstim_open_L5_S5R_C3_cropped.tif,59
ROI_20220822_stim_L3_S5R_C3_cropped.tif,25
ROI_20220818_unstim_open_L1_S4L_C3_cropped.tif,28
ROI_20220818_unstim_open_L3_S2R_C3_cropped.tif,40
ROI_20220822_stim_L4_S5L_C3_cropped.tif,49
ROI_20220822_stim_L6_S3R_C3_cropped.tif,36
ROI_20220818_unstim_open_L4_S2L_C3_cropped.tif,33
ROI_20220822_stim_L1_S2L_C3_cropped.tif,65
ROI_20220819_unstim_open_L5_S4R_C3_cropped.tif,38
ROI_20220819_unstim_open_L6_S3R_C3_cropped.tif,25
ROI_20220818_unstim_open_L2_S2L_C3_cropped.tif,34
ROI_20220818_unstim_open_L1_S5L_C3_cropped.tif,11
ROI_20220818_unstim_open_L3_S3R_C3_cropped.tif,46
ROI_20220822_stim_L4_S4L_C3_cropped.tif,43
ROI_20220822_stim_L6_S2R_C3_cropped.tif,12
ROI_20220818_unstim_open_L4_S4L_C3_cropped.tif,33
ROI_20220822_stim_L4_S3L_C3_cropped.tif,46
ROI_20220822_stim_L5_S2R_C3_cropped.tif,53
ROI_20220818_unstim_open_L3_S4R_C3_cropped.tif,16
ROI_20220822_stim_L2_S2L_C3_cropped.tif,77
ROI_20220819_unstim_open_L5_S3R_C3_cropped.tif,60
ROI_20220822_stim_L5_S3L_C3_cropped.tif,52
ROI_20220822_stim_L6_S4L_C3_cropped.tif,34
ROI_20220818_unstim_open_L4_S5R_C3_cropped.tif,13
ROI_20220822_stim_L1_S4R_C3_cropped.tif,14
ROI_20220819_unstim_open_L6_S5L_C3_cropped.tif,4
ROI_20220822_stim_L2_S3R_C3_cropped.tif,38
ROI_20220818_unstim_open_L1_S3R_C3_cropped.tif,123
ROI_20220818_unstim_open_L3_S2L_C3_cropped.tif,41
ROI_20220818_unstim_open_L1_S4R_C3_cropped.tif,22
ROI_20220822_stim_L2_S4R_C3_cropped.tif,26
ROI_20220819_unstim_open_L6_S2L_C3_cropped.tif,114
ROI_20220819_unstim_open_L5_S5L_C3_cropped.tif,23
ROI_20220818_unstim_open_L4_S2R_C3_cropped.tif,47
ROI_20220822_stim_L6_S3L_C3_cropped.tif,44
ROI_20220822_stim_L4_S5R_C3_cropped.tif,17
ROI_20220822_stim_L5_S4L_C3_cropped.tif,38
ROI_20220818_unstim_open_L2_S2R_C3_cropped.tif,41
ROI_20220818_unstim_open_L3_S3L_C3_cropped.tif,39
ROI_20220822_stim_L1_S2R_C3_cropped.tif,81
ROI_20220822_stim_L2_S5R_C3_cropped.tif,52
ROI_20220819_unstim_open_L6_S3L_C3_cropped.tif,23
ROI_20220818_unstim_open_L4_S3R_C3_cropped.tif,24
ROI_20220822_stim_L5_S5L_C3_cropped.tif,24
ROI_20220822_stim_L6_S2L_C3_cropped.tif,59
ROI_20220822_stim_L4_S4R_C3_cropped.tif,66
ROI_20220822_stim_L6_S5L_C3_cropped.tif,19
ROI_20220818_unstim_open_L4_S4R_C3_cropped.tif,26
ROI_20220819_unstim_open_L6_S4L_C3_cropped.tif,14
ROI_20220818_unstim_open_L1_S2R_C3_cropped.tif,55
