C1,C2,C3,C4,C5,C6,C7
30,1,322,580,-1.000,-1.000,-12960719
30,2,335,544,4.938,4.938,-10527158
30,3,329,546,0.816,0.816,-12106440
30,4,329,547,0.129,0.129,-11315905
30,5,326,544,0.547,0.547,-13289687
30,6,330,546,0.577,0.577,-10133940
30,7,329,546,0.129,0.129,-9409966
30,8,329,546,0.000,0.000,-9803695
30,9,330,546,0.129,0.129,-10526909
30,10,332,550,0.577,0.577,-10067637
30,11,334,552,0.365,0.365,-13948905
30,12,331,560,1.102,1.102,-8359097
30,13,331,552,1.032,1.032,-7567253
30,14,323,554,1.064,1.064,-12829913
30,15,331,542,1.860,1.860,-10526640
30,16,325,546,0.930,0.930,-13224155
30,17,339,541,1.918,1.918,-12565971
30,18,337,534,0.939,0.939,-12566739
30,19,337,529,0.645,0.645,-12697550
30,20,336,528,0.182,0.182,-11712460
30,21,335,524,0.532,0.532,-12435153
30,22,335,515,1.161,1.161,-7373230
30,23,335,510,0.645,0.645,-8294845
30,24,335,510,0.000,0.000,-9347533
30,25,335,505,0.645,0.645,-10596572
30,26,335,499,0.774,0.774,-9346505
30,27,336,492,0.912,0.912,-9477836
30,28,336,486,0.774,0.774,-9675985
30,29,335,479,0.912,0.912,-8818356
30,30,337,470,1.189,1.189,-12632018
30,31,337,466,0.516,0.516,-11646150
30,32,335,464,0.365,0.365,-13027292
30,33,334,457,0.912,0.912,-12172496
30,34,333,451,0.785,0.785,-11317185
30,35,333,451,0.000,0.000,-10790079
30,36,333,444,0.903,0.903,-10724795
30,37,333,442,0.258,0.258,-10726077
30,38,332,436,0.785,0.785,-12635890
30,39,331,429,0.912,0.912,-9281226
30,40,327,419,1.389,1.389,-7504815
30,41,328,416,0.408,0.408,-9611219
30,42,327,408,1.040,1.040,-10597600
30,43,326,402,0.785,0.785,-7307949
30,44,325,395,0.912,0.912,-10002616
30,45,325,390,0.645,0.645,-7765143
30,46,325,380,1.290,1.290,-11579847
30,47,325,374,0.774,0.774,-11448773
