Track n°,Slice n°,X,Y,Distance,Velocity,Pixel Value
1,1,329,578,-1.000,-1.000,-11318215
1,2,378,558,6.827,6.827,-13092308
1,3,379,560,0.288,0.288,-13487066
1,4,381,557,0.465,0.465,-10659257
1,5,386,559,0.695,0.695,-12172492
1,6,389,559,0.387,0.387,-13027542
1,7,392,554,0.752,0.752,-9543623
1,8,397,551,0.752,0.752,-8031413
1,9,402,551,0.645,0.645,-7964848
1,10,399,544,0.982,0.982,-8952513
1,11,398,541,0.408,0.408,-9675466
1,12,404,534,1.189,1.189,-7240616
1,13,405,528,0.785,0.785,-7109288
1,14,413,521,1.371,1.371,-6977953
1,15,418,516,0.912,0.912,-12895704
1,16,417,507,1.168,1.168,-10131884
1,17,421,501,0.930,0.930,-13880281
1,18,425,498,0.645,0.645,-12499143
1,19,429,498,0.516,0.516,-13421273
1,20,426,495,0.547,0.547,-11052982
1,21,411,497,1.952,1.952,-11250630
1,22,408,494,0.547,0.547,-13092058
1,23,407,491,0.408,0.408,-10790328
1,24,405,486,0.695,0.695,-10264248
1,25,405,484,0.258,0.258,-10461890
1,26,404,479,0.658,0.658,-10856636
1,27,393,495,2.505,2.505,-12962529
1,28,398,486,1.328,1.328,-11581387
1,29,419,493,2.856,2.856,-13093337
1,30,425,488,1.008,1.008,-12961751
1,31,428,485,0.547,0.547,-10198193
1,32,432,483,0.577,0.577,-12962778
1,33,434,478,0.695,0.695,-10396871
1,34,437,473,0.752,0.752,-8162997
1,35,439,469,0.577,0.577,-10858970
1,36,439,463,0.774,0.774,-8753596
1,37,438,458,0.658,0.658,-9872075
1,38,448,470,2.015,2.015,-7306148
1,39,448,469,0.129,0.129,-7634343
1,40,444,492,3.012,3.012,-12105420
1,41,436,468,3.263,3.263,-7175334
1,42,443,467,0.912,0.912,-7107999
1,43,446,465,0.465,0.465,-6977953
1,44,449,458,0.982,0.982,-7505065
1,45,455,454,0.930,0.930,-8095666
1,46,456,455,0.182,0.182,-7502757
1,47,431,462,3.349,3.349,-9872334
