C1,C2,C3,C4,C5,C6,C7
6,1,329,581,-1.000,-1.000,-12896469
6,2,347,594,2.864,2.864,-13223893
6,3,352,591,0.752,0.752,-13684442
6,4,351,590,0.182,0.182,-13422048
6,5,355,592,0.577,0.577,-13355477
6,6,358,596,0.645,0.645,-13553369
6,7,356,584,1.569,1.569,-13684444
6,8,329,589,3.542,3.542,-13618651
6,9,330,599,1.296,1.296,-13289686
6,10,329,603,0.532,0.532,-13289684
6,11,331,603,0.258,0.258,-13092308
6,12,336,598,0.912,0.912,-12960979
6,13,338,582,2.080,2.080,-13290465
6,14,346,572,1.652,1.652,-11316158
6,15,356,571,1.296,1.296,-13421013
6,16,356,572,0.129,0.129,-12039366
6,17,337,558,3.045,3.045,-12303051
6,18,344,549,1.471,1.471,-13289687
6,19,350,546,0.865,0.865,-12040647
6,20,355,544,0.695,0.695,-13355737
6,21,356,540,0.532,0.532,-12763855
6,22,345,573,4.487,4.487,-13093334
6,23,352,580,1.277,1.277,-13224406
6,24,357,586,1.008,1.008,-13355992
6,25,360,590,0.645,0.645,-13355480
6,26,365,595,0.912,0.912,-13552858
6,27,365,601,0.774,0.774,-13224151
6,28,337,590,3.881,3.881,-13224920
6,29,329,586,1.154,1.154,-12960209
6,30,332,572,1.847,1.847,-13028579
6,31,329,568,0.645,0.645,-11908809
6,32,320,566,1.189,1.189,-13092820
6,33,314,563,0.865,0.865,-13487066
6,34,324,552,1.918,1.918,-12369612
6,35,314,574,3.117,3.117,-13092818
6,36,305,574,1.161,1.161,-13158101
6,37,298,575,0.912,0.912,-13223893
6,38,289,576,1.168,1.168,-13289686
6,39,285,577,0.532,0.532,-13355220
6,40,282,578,0.408,0.408,-13224151
6,41,277,575,0.752,0.752,-13092565
6,42,293,586,2.505,2.505,-13156820
6,43,288,598,1.677,1.677,-13024719
6,44,285,602,0.645,0.645,-12827853
6,45,282,608,0.865,0.865,-12433865
6,46,277,610,0.695,0.695,-8620460
6,47,274,614,0.645,0.645,-7239583
