C1,C2,C3,C4,C5,C6,C7
62,1,329,580,-1.000,-1.000,-13289686
62,2,335,556,3.191,3.191,-12565459
62,3,331,558,0.577,0.577,-14342121
62,4,333,558,0.258,0.258,-13092308
62,5,329,556,0.577,0.577,-13355741
62,6,329,556,0.000,0.000,-13223894
62,7,331,559,0.465,0.465,-13355228
62,8,337,563,0.930,0.930,-13289946
62,9,341,563,0.516,0.516,-13158358
62,10,327,558,1.918,1.918,-13618652
62,11,327,558,0.000,0.000,-13158101
62,12,329,559,0.288,0.288,-13618659
62,13,329,559,0.000,0.000,-13751015
62,14,339,559,1.290,1.290,-13223894
62,15,338,559,0.129,0.129,-13289686
62,16,338,559,0.000,0.000,-13158101
62,17,332,558,0.785,0.785,-13684445
62,18,332,558,0.000,0.000,-13092308
62,19,332,558,0.000,0.000,-13223381
62,20,329,559,0.408,0.408,-13355741
62,21,329,559,0.000,0.000,-13355741
62,22,329,559,0.000,0.000,-13092308
62,23,339,564,1.442,1.442,-13487841
62,24,339,564,0.000,0.000,-9540523
62,25,339,564,0.000,0.000,-10592702
62,26,339,560,0.516,0.516,-13618913
62,27,339,560,0.000,0.000,-13159389
62,28,339,560,0.000,0.000,-12895704
62,29,339,560,0.000,0.000,-12763600
62,30,339,559,0.129,0.129,-13289433
62,31,339,559,0.000,0.000,-13026774
62,32,339,562,0.387,0.387,-11513284
62,33,338,561,0.182,0.182,-12960981
62,34,338,561,0.000,0.000,-12829395
62,35,338,561,0.000,0.000,-12500432
62,36,333,557,0.826,0.826,-12829393
62,37,330,557,0.387,0.387,-13421273
62,38,333,556,0.408,0.408,-12829136
62,39,337,560,0.730,0.730,-10395834
62,40,343,558,0.816,0.816,-12763600
62,41,343,558,0.000,0.000,-12763089
62,42,341,562,0.577,0.577,-12960983
62,43,336,563,0.658,0.658,-9935283
62,44,335,560,0.408,0.408,-7501456
62,45,336,560,0.129,0.129,-13487073
62,46,336,560,0.000,0.000,-12368846
