C1,C2,C3,C4,C5,C6,C7
73,1,330,583,-1.000,-1.000,-12699354
73,2,346,520,8.385,8.385,-8358064
73,3,349,519,0.408,0.408,-8030641
73,4,350,513,0.785,0.785,-9675215
73,5,350,505,1.032,1.032,-10201814
73,6,354,499,0.930,0.930,-11320809
73,7,356,490,1.189,1.189,-10925282
73,8,357,482,1.040,1.040,-10133437
73,9,358,475,0.912,0.912,-8883622
73,10,356,464,1.442,1.442,-11975885
73,11,355,456,1.040,1.040,-12895439
73,12,359,447,1.271,1.271,-13092565
73,13,353,441,1.095,1.095,-10660284
73,14,358,432,1.328,1.328,-7635883
73,15,358,427,0.645,0.645,-9413064
73,16,347,431,1.510,1.510,-8096438
73,17,338,427,1.271,1.271,-8162997
73,18,338,427,0.000,0.000,-10466011
73,19,330,423,1.154,1.154,-8557755
73,20,324,421,0.816,0.816,-7570858
73,21,320,422,0.532,0.532,-7899823
73,22,331,409,2.197,2.197,-7965616
73,23,328,405,0.645,0.645,-8820925
73,24,326,395,1.316,1.316,-9607856
73,25,325,386,1.168,1.168,-12829133
73,26,322,387,0.408,0.408,-11251911
73,27,320,377,1.316,1.316,-12565961
73,28,318,373,0.577,0.577,-12566213
73,29,316,369,0.577,0.577,-12236996
73,30,316,362,0.903,0.903,-9804714
73,31,316,353,1.161,1.161,-11514815
73,32,315,349,0.532,0.532,-11647177
73,33,302,355,1.847,1.847,-12040649
73,34,296,352,0.865,0.865,-12632016
73,35,294,352,0.258,0.258,-11580357
73,36,304,361,1.736,1.736,-10923467
73,37,297,366,1.110,1.110,-11185348
73,38,288,369,1.224,1.224,-11119545
73,39,281,370,0.912,0.912,-12500428
73,40,278,371,0.408,0.408,-11908033
73,41,272,371,0.774,0.774,-13158101
73,42,268,371,0.516,0.516,-10132652
73,43,266,367,0.577,0.577,-10330807
73,44,263,369,0.465,0.465,-8619159
73,45,256,372,0.982,0.982,-10657717
73,46,251,369,0.752,0.752,-9935534
73,47,264,359,2.116,2.116,-11316675
