"","Track_Number","Slice_number","X","Y","Distance","Velocity","Pixel_value","Filename","X_centre","Y_centre","Radius","Distance_from_Centre","Include","condition"
"1",22,2,292,529,7.156,7.156,-9017027,"CG1648_1",327.5,577.5,210.5,60.1040764008565,FALSE,"CG1648 RNAi"
"2",22,3,288,524,0.826,0.826,-12044018,"CG1648_1",327.5,577.5,210.5,66.5018796726829,FALSE,"CG1648 RNAi"
"3",22,4,284,521,0.645,0.645,-9610705,"CG1648_1",327.5,577.5,210.5,71.30567999816,FALSE,"CG1648 RNAi"
"4",22,5,283,519,0.288,0.288,-12438776,"CG1648_1",327.5,577.5,210.5,73.501700660597,FALSE,"CG1648 RNAi"
"5",22,6,277,514,1.008,1.008,-10004949,"CG1648_1",327.5,577.5,210.5,81.1326075015465,FALSE,"CG1648 RNAi"
"6",22,7,274,507,0.982,0.982,-8886982,"CG1648_1",327.5,577.5,210.5,88.5014124181078,FALSE,"CG1648 RNAi"
"7",22,8,272,506,0.288,0.288,-11321323,"CG1648_1",327.5,577.5,210.5,90.5124300855965,FALSE,"CG1648 RNAi"
"8",22,9,265,502,1.04,1.04,-11385825,"CG1648_1",327.5,577.5,210.5,98.0127542720844,FALSE,"CG1648 RNAi"
"9",22,10,262,493,1.224,1.224,-11777223,"CG1648_1",327.5,577.5,210.5,106.913516451382,FALSE,"CG1648 RNAi"
"10",22,11,260,487,0.816,0.816,-10132400,"CG1648_1",327.5,577.5,210.5,112.900398582113,FALSE,"CG1648 RNAi"
"11",22,12,254,481,1.095,1.095,-11909324,"CG1648_1",327.5,577.5,210.5,121.303338783399,FALSE,"CG1648 RNAi"
"12",22,13,249,477,0.826,0.826,-12172494,"CG1648_1",327.5,577.5,210.5,127.524507448568,FALSE,"CG1648 RNAi"
"13",22,14,245,472,0.826,0.826,-10856634,"CG1648_1",327.5,577.5,210.5,133.927219040791,FALSE,"CG1648 RNAi"
"14",22,15,242,465,0.982,0.982,-12041945,"CG1648_1",327.5,577.5,210.5,141.302866212968,FALSE,"CG1648 RNAi"
"15",22,16,239,463,0.465,0.465,-12307186,"CG1648_1",327.5,577.5,210.5,144.715237622028,FALSE,"CG1648 RNAi"
"16",22,17,234,457,1.008,1.008,-11058148,"CG1648_1",327.5,577.5,210.5,152.520490426696,FALSE,"CG1648 RNAi"
"17",22,18,226,454,1.102,1.102,-10795998,"CG1648_1",327.5,577.5,210.5,159.857749264776,FALSE,"CG1648 RNAi"
"18",22,19,220,450,0.93,0.93,-9216196,"CG1648_1",327.5,577.5,210.5,166.770800801579,FALSE,"CG1648 RNAi"
"19",22,20,218,444,0.816,0.816,-10926301,"CG1648_1",327.5,577.5,210.5,172.66296649832,FALSE,"CG1648 RNAi"
"20",22,21,211,437,1.277,1.277,-10594499,"CG1648_1",327.5,577.5,210.5,182.51712248444,FALSE,"CG1648 RNAi"
"21",22,22,204,431,1.189,1.189,-10987959,"CG1648_1",327.5,577.5,210.5,191.610281561298,FALSE,"CG1648 RNAi"
"22",22,23,199,427,0.826,0.826,-11447740,"CG1648_1",327.5,577.5,210.5,197.895174271633,FALSE,"CG1648 RNAi"
"23",22,24,192,428,0.912,0.912,-12369360,"CG1648_1",327.5,577.5,210.5,201.768431623978,FALSE,"CG1648 RNAi"
"24",22,25,184,422,1.29,1.29,-11908811,"CG1648_1",327.5,577.5,210.5,211.595132269152,TRUE,"CG1648 RNAi"
"25",22,26,178,419,0.865,0.865,-10662343,"CG1648_1",327.5,577.5,210.5,217.881848716225,TRUE,"CG1648 RNAi"
"26",22,27,177,408,1.425,1.425,-8948888,"CG1648_1",327.5,577.5,210.5,226.672671489088,TRUE,"CG1648 RNAi"
"27",22,28,170,419,1.682,1.682,-10133162,"CG1648_1",327.5,577.5,210.5,223.446861691992,TRUE,"CG1648 RNAi"
"28",22,29,166,420,0.532,0.532,-9080474,"CG1648_1",327.5,577.5,210.5,225.584795586937,TRUE,"CG1648 RNAi"
"29",22,30,181,412,2.193,2.193,-11516358,"CG1648_1",327.5,577.5,210.5,221.026016568186,TRUE,"CG1648 RNAi"
"30",22,31,185,405,1.04,1.04,-11646918,"CG1648_1",327.5,577.5,210.5,223.746508352644,TRUE,"CG1648 RNAi"
"31",22,32,186,401,0.532,0.532,-10857913,"CG1648_1",327.5,577.5,210.5,226.217815390389,TRUE,"CG1648 RNAi"
"32",22,33,185,393,1.04,1.04,-12042195,"CG1648_1",327.5,577.5,210.5,233.123357903064,TRUE,"CG1648 RNAi"
"33",22,34,186,393,0.129,0.129,-9345202,"CG1648_1",327.5,577.5,210.5,232.513440471728,TRUE,"CG1648 RNAi"
"34",22,35,174,411,2.791,2.791,-7040640,"CG1648_1",327.5,577.5,210.5,226.460813387217,TRUE,"CG1648 RNAi"
