"","Label","sum_Area","condition","channel"
"1","CG1648_Control_L1_S3L_C1.tif",128.91,"Control","Glia"
"2","CG1648_Control_L1_S3L_C3.tif",499.514,"Control","HRP"
"3","CG1648_Control_L1_S3R_C1.tif",214.378,"Control","Glia"
"4","CG1648_Control_L1_S3R_C3.tif",596.352,"Control","HRP"
"5","CG1648_Control_L1_S4L_C1.tif",67.792,"Control","Glia"
"6","CG1648_Control_L1_S4L_C3.tif",268.574,"Control","HRP"
"7","CG1648_Control_L1_S4R_C1.tif",121.31,"Control","Glia"
"8","CG1648_Control_L1_S4R_C3.tif",367.142,"Control","HRP"
"9","CG1648_Control_L1_S5L_C1.tif",98.878,"Control","Glia"
"10","CG1648_Control_L1_S5L_C3.tif",442.908,"Control","HRP"
"11","CG1648_Control_L1_S5R_C1.tif",149.922,"Control","Glia"
"12","CG1648_Control_L1_S5R_C3.tif",481.222,"Control","HRP"
"13","CG1648_Control_L2_S3L_C1.tif",172.293,"Control","Glia"
"14","CG1648_Control_L2_S3L_C3.tif",726.623,"Control","HRP"
"15","CG1648_Control_L2_S3R_C1.tif",177.052,"Control","Glia"
"16","CG1648_Control_L2_S3R_C3.tif",641.465,"Control","HRP"
"17","CG1648_Control_L2_S4L_C1.tif",76.073,"Control","Glia"
"18","CG1648_Control_L2_S4L_C3.tif",512.616,"Control","HRP"
"19","CG1648_Control_L2_S4R_C1.tif",78.669,"Control","Glia"
"20","CG1648_Control_L2_S4R_C3.tif",441.98,"Control","HRP"
"21","CG1648_Control_L2_S5L_C1.tif",55.989,"Control","Glia"
"22","CG1648_Control_L2_S5L_C3.tif",579.666,"Control","HRP"
"23","CG1648_Control_L2_S5R_C1.tif",60.562,"Control","Glia"
"24","CG1648_Control_L2_S5R_C3.tif",448.469,"Control","HRP"
"25","CG1648_Control_L3_S3L_C1.tif",122.546,"Control","Glia"
"26","CG1648_Control_L3_S3L_C3.tif",605.622,"Control","HRP"
"27","CG1648_Control_L3_S3R_C1.tif",141.703,"Control","Glia"
"28","CG1648_Control_L3_S3R_C3.tif",487.958,"Control","HRP"
"29","CG1648_Control_L3_S4L_C1.tif",112.287,"Control","Glia"
"30","CG1648_Control_L3_S4L_C3.tif",526.086,"Control","HRP"
"31","CG1648_Control_L3_S4R_C1.tif",113.585,"Control","Glia"
"32","CG1648_Control_L3_S4R_C3.tif",485.486,"Control","HRP"
"33","CG1648_Control_L3_S5L_C1.tif",29.601,"Control","Glia"
"34","CG1648_Control_L3_S5L_C3.tif",335.194,"Control","HRP"
"35","CG1648_Control_L3_S5R_C1.tif",85.034,"Control","Glia"
"36","CG1648_Control_L3_S5R_C3.tif",298.423,"Control","HRP"
"37","CG1648_Control_L4_S3L_C1.tif",158.204,"Control","Glia"
"38","CG1648_Control_L4_S3L_C3.tif",309.302,"Control","HRP"
"39","CG1648_Control_L4_S3R_C1.tif",70.45,"Control","Glia"
"40","CG1648_Control_L4_S3R_C3.tif",279.08,"Control","HRP"
"41","CG1648_Control_L4_S4L_C1.tif",138.984,"Control","Glia"
"42","CG1648_Control_L4_S4L_C3.tif",367.947,"Control","HRP"
"43","CG1648_Control_L4_S4R_C1.tif",135.832,"Control","Glia"
"44","CG1648_Control_L4_S4R_C3.tif",340.94,"Control","HRP"
"45","CG1648_Control_L4_S5L_C1.tif",71.686,"Control","Glia"
"46","CG1648_Control_L4_S5L_C3.tif",294.406,"Control","HRP"
"47","CG1648_Control_L4_S5R_C1.tif",47.152,"Control","Glia"
"48","CG1648_Control_L4_S5R_C3.tif",355.648,"Control","HRP"
"49","CG1648_Control_L5_S3L_C1.tif",66.371,"Control","Glia"
"50","CG1648_Control_L5_S3L_C3.tif",348.665,"Control","HRP"
"51","CG1648_Control_L5_S3R_C1.tif",75.209,"Control","Glia"
"52","CG1648_Control_L5_S3R_C3.tif",292.429,"Control","HRP"
"53","CG1648_Control_L5_S4L_C1.tif",82.439,"Control","Glia"
"54","CG1648_Control_L5_S4L_C3.tif",339.89,"Control","HRP"
"55","CG1648_Control_L5_S4R_C1.tif",59.326,"Control","Glia"
"56","CG1648_Control_L5_S4R_C3.tif",471.643,"Control","HRP"
"57","CG1648_Control_L5_S5L_C1.tif",108.641,"Control","Glia"
"58","CG1648_Control_L5_S5L_C3.tif",356.266,"Control","HRP"
"59","CG1648_Control_L5_S5R_C1.tif",59.203,"Control","Glia"
"60","CG1648_Control_L5_S5R_C3.tif",256.957,"Control","HRP"
"61","CG1648_RNAi_L1_S3L_C1.tif",280.625,"CG1648 RNAi","Glia"
"62","CG1648_RNAi_L1_S3L_C3.tif",560.014,"CG1648 RNAi","HRP"
"63","CG1648_RNAi_L1_S3R_C1.tif",168.585,"CG1648 RNAi","Glia"
"64","CG1648_RNAi_L1_S3R_C3.tif",667.049,"CG1648 RNAi","HRP"
"65","CG1648_RNAi_L1_S4L_C1.tif",156.35,"CG1648 RNAi","Glia"
"66","CG1648_RNAi_L1_S4L_C3.tif",645.42,"CG1648 RNAi","HRP"
"67","CG1648_RNAi_L1_S4R_C1.tif",119.023,"CG1648 RNAi","Glia"
"68","CG1648_RNAi_L1_S4R_C3.tif",315.046,"CG1648 RNAi","HRP"
"69","CG1648_RNAi_L1_S5L_C1.tif",50.86,"CG1648 RNAi","Glia"
"70","CG1648_RNAi_L1_S5L_C3.tif",404.716,"CG1648 RNAi","HRP"
"71","CG1648_RNAi_L1_S5R_C1.tif",80.523,"CG1648 RNAi","Glia"
"72","CG1648_RNAi_L1_S5R_C3.tif",448.408,"CG1648 RNAi","HRP"
"73","CG1648_RNAi_L2_S3L_C1.tif",246.204,"CG1648 RNAi","Glia"
"74","CG1648_RNAi_L2_S3L_C3.tif",674.776,"CG1648 RNAi","HRP"
"75","CG1648_RNAi_L2_S3R_C1.tif",202.08,"CG1648 RNAi","Glia"
"76","CG1648_RNAi_L2_S3R_C3.tif",562.981,"CG1648 RNAi","HRP"
"77","CG1648_RNAi_L2_S4L_C1.tif",87.754,"CG1648 RNAi","Glia"
"78","CG1648_RNAi_L2_S4L_C3.tif",470.84,"CG1648 RNAi","HRP"
"79","CG1648_RNAi_L2_S4R_C1.tif",157.585,"CG1648 RNAi","Glia"
"80","CG1648_RNAi_L2_S4R_C3.tif",641.03,"CG1648 RNAi","HRP"
"81","CG1648_RNAi_L2_S5L_C1.tif",240.456,"CG1648 RNAi","Glia"
"82","CG1648_RNAi_L2_S5L_C3.tif",461.324,"CG1648 RNAi","HRP"
"83","CG1648_RNAi_L2_S5R_C1.tif",185.518,"CG1648 RNAi","Glia"
"84","CG1648_RNAi_L2_S5R_C3.tif",728.785,"CG1648 RNAi","HRP"
"85","CG1648_RNAi_L3_S3L_C1.tif",160.119,"CG1648 RNAi","Glia"
"86","CG1648_RNAi_L3_S3L_C3.tif",393.469,"CG1648 RNAi","HRP"
"87","CG1648_RNAi_L3_S3R_C1.tif",93.933,"CG1648 RNAi","Glia"
"88","CG1648_RNAi_L3_S3R_C3.tif",304.726,"CG1648 RNAi","HRP"
"89","CG1648_RNAi_L3_S4L_C1.tif",88.866,"CG1648 RNAi","Glia"
"90","CG1648_RNAi_L3_S4L_C3.tif",401.75,"CG1648 RNAi","HRP"
"91","CG1648_RNAi_L3_S4R_C1.tif",136.018,"CG1648 RNAi","Glia"
"92","CG1648_RNAi_L3_S4R_C3.tif",487.773,"CG1648 RNAi","HRP"
"93","CG1648_RNAi_L3_S5L_C1.tif",53.333,"CG1648 RNAi","Glia"
"94","CG1648_RNAi_L3_S5L_C3.tif",594.498,"CG1648 RNAi","HRP"
"95","CG1648_RNAi_L3_S5R_C1.tif",83.612,"CG1648 RNAi","Glia"
"96","CG1648_RNAi_L3_S5R_C3.tif",319.991,"CG1648 RNAi","HRP"
"97","CG1648_RNAi_L4_S3L_C1.tif",221.979,"CG1648 RNAi","Glia"
"98","CG1648_RNAi_L4_S3L_C3.tif",710.43,"CG1648 RNAi","HRP"
"99","CG1648_RNAi_L4_S3R_C1.tif",116.181,"CG1648 RNAi","Glia"
"100","CG1648_RNAi_L4_S3R_C3.tif",518.117,"CG1648 RNAi","HRP"
"101","CG1648_RNAi_L4_S4L_C1.tif",75.331,"CG1648 RNAi","Glia"
"102","CG1648_RNAi_L4_S4L_C3.tif",391.861,"CG1648 RNAi","HRP"
"103","CG1648_RNAi_L4_S4R_C1.tif",119.085,"CG1648 RNAi","Glia"
"104","CG1648_RNAi_L4_S4R_C3.tif",430.548,"CG1648 RNAi","HRP"
"105","CG1648_RNAi_L4_S5L_C1.tif",35.41,"CG1648 RNAi","Glia"
"106","CG1648_RNAi_L4_S5L_C3.tif",294.839,"CG1648 RNAi","HRP"
"107","CG1648_RNAi_L4_S5R_C1.tif",73.045,"CG1648 RNAi","Glia"
"108","CG1648_RNAi_L4_S5R_C3.tif",490.924,"CG1648 RNAi","HRP"
"109","CG1648_RNAi_L5_S3L_C1.tif",234.895,"CG1648 RNAi","Glia"
"110","CG1648_RNAi_L5_S3L_C3.tif",669.458,"CG1648 RNAi","HRP"
"111","CG1648_RNAi_L5_S3R_C1.tif",232.176,"CG1648 RNAi","Glia"
"112","CG1648_RNAi_L5_S3R_C3.tif",596.227,"CG1648 RNAi","HRP"
"113","CG1648_RNAi_L5_S4L_C1.tif",63.776,"CG1648 RNAi","Glia"
"114","CG1648_RNAi_L5_S4L_C3.tif",544.751,"CG1648 RNAi","HRP"
"115","CG1648_RNAi_L5_S5L_C1.tif",230.322,"CG1648 RNAi","Glia"
"116","CG1648_RNAi_L5_S5L_C3.tif",452.981,"CG1648 RNAi","HRP"
"117","CG1648_RNAi_L5_S5R_C1.tif",74.714,"CG1648 RNAi","Glia"
"118","CG1648_RNAi_L5_S5R_C3.tif",223.028,"CG1648 RNAi","HRP"
