"","Label","sum_Area","condition","channel"
"1","CG42342_RNAi_61021_L1_S3L_C1.tif",109.754,"CG42342 RNAi","Glia"
"2","CG42342_RNAi_61021_L1_S3L_C3.tif",337.79,"CG42342 RNAi","HRP"
"3","CG42342_RNAi_61021_L1_S3R_C1.tif",100.114,"CG42342 RNAi","Glia"
"4","CG42342_RNAi_61021_L1_S3R_C3.tif",331.362,"CG42342 RNAi","HRP"
"5","CG42342_RNAi_61021_L1_S4L_C1.tif",7.169,"CG42342 RNAi","Glia"
"6","CG42342_RNAi_61021_L1_S4L_C3.tif",167.474,"CG42342 RNAi","HRP"
"7","CG42342_RNAi_61021_L1_S4R_C1.tif",7.169,"CG42342 RNAi","Glia"
"8","CG42342_RNAi_61021_L1_S4R_C3.tif",176.434,"CG42342 RNAi","HRP"
"9","CG42342_RNAi_61021_L1_S5L_C1.tif",42.826,"CG42342 RNAi","Glia"
"10","CG42342_RNAi_61021_L1_S5L_C3.tif",274.817,"CG42342 RNAi","HRP"
"11","CG42342_RNAi_61021_L1_S5R_C1.tif",45.051,"CG42342 RNAi","Glia"
"12","CG42342_RNAi_61021_L1_S5R_C3.tif",266.35,"CG42342 RNAi","HRP"
"13","CG42342_RNAi_61021_L2_S3L_C1.tif",61.366,"CG42342 RNAi","Glia"
"14","CG42342_RNAi_61021_L2_S3L_C3.tif",258.935,"CG42342 RNAi","HRP"
"15","CG42342_RNAi_61021_L2_S3R_C1.tif",150.169,"CG42342 RNAi","Glia"
"16","CG42342_RNAi_61021_L2_S3R_C3.tif",339.827,"CG42342 RNAi","HRP"
"17","CG42342_RNAi_61021_L2_S4L_C1.tif",33.062,"CG42342 RNAi","Glia"
"18","CG42342_RNAi_61021_L2_S4L_C3.tif",248.49,"CG42342 RNAi","HRP"
"19","CG42342_RNAi_61021_L2_S4R_C1.tif",12.051,"CG42342 RNAi","Glia"
"20","CG42342_RNAi_61021_L2_S4R_C3.tif",336.12,"CG42342 RNAi","HRP"
"21","CG42342_RNAi_61021_L2_S5L_C1.tif",0,"CG42342 RNAi","Glia"
"22","CG42342_RNAi_61021_L2_S5L_C3.tif",178.349,"CG42342 RNAi","HRP"
"23","CG42342_RNAi_61021_L2_S5R_C1.tif",2.225,"CG42342 RNAi","Glia"
"24","CG42342_RNAi_61021_L2_S5R_C3.tif",225.439,"CG42342 RNAi","HRP"
"25","CG42342_RNAi_61021_L3_S3L_C1.tif",52.652,"CG42342 RNAi","Glia"
"26","CG42342_RNAi_61021_L3_S3L_C3.tif",235.884,"CG42342 RNAi","HRP"
"27","CG42342_RNAi_61021_L3_S3R_C1.tif",80.152,"CG42342 RNAi","Glia"
"28","CG42342_RNAi_61021_L3_S3R_C3.tif",432.155,"CG42342 RNAi","HRP"
"29","CG42342_RNAi_61021_L3_S4L_C1.tif",80.152,"CG42342 RNAi","Glia"
"30","CG42342_RNAi_61021_L3_S4L_C3.tif",272.652,"CG42342 RNAi","HRP"
"31","CG42342_RNAi_61021_L3_S4R_C1.tif",76.073,"CG42342 RNAi","Glia"
"32","CG42342_RNAi_61021_L3_S4R_C3.tif",393.777,"CG42342 RNAi","HRP"
"33","CG42342_RNAi_61021_L3_S5L_C1.tif",52.281,"CG42342 RNAi","Glia"
"34","CG42342_RNAi_61021_L3_S5L_C3.tif",321.35,"CG42342 RNAi","HRP"
