"","Label","sum_Area","condition","channel"
"1","gli_Control_L1_S3L_C1.tif",210.855,"Control","Glia"
"2","gli_Control_L1_S3L_C3.tif",508.601,"Control","HRP"
"3","gli_Control_L1_S3R_C1.tif",67.978,"Control","Glia"
"4","gli_Control_L1_S3R_C3.tif",324.811,"Control","HRP"
"5","gli_Control_L1_S4L_C1.tif",42.578,"Control","Glia"
"6","gli_Control_L1_S4L_C3.tif",293.541,"Control","HRP"
"7","gli_Control_L1_S4R_C1.tif",73.602,"Control","Glia"
"8","gli_Control_L1_S4R_C3.tif",370.294,"Control","HRP"
"9","gli_Control_L1_S5L_C1.tif",44.865,"Control","Glia"
"10","gli_Control_L1_S5L_C3.tif",394.704,"Control","HRP"
"11","gli_Control_L1_S5R_C1.tif",44.433,"Control","Glia"
"12","gli_Control_L1_S5R_C3.tif",230.26,"Control","HRP"
"13","gli_Control_L2_S3L_C1.tif",154.372,"Control","Glia"
"14","gli_Control_L2_S3L_C3.tif",462.005,"Control","HRP"
"15","gli_Control_L2_S3R_C1.tif",201.833,"Control","Glia"
"16","gli_Control_L2_S3R_C3.tif",496.795,"Control","HRP"
"17","gli_Control_L2_S4L_C1.tif",48.079,"Control","Glia"
"18","gli_Control_L2_S4L_C3.tif",380.8,"Control","HRP"
"19","gli_Control_L2_S4R_C1.tif",91.462,"Control","Glia"
"20","gli_Control_L2_S4R_C3.tif",430.856,"Control","HRP"
"21","gli_Control_L2_S5L_C1.tif",58.77,"Control","Glia"
"22","gli_Control_L2_S5L_C3.tif",392.789,"Control","HRP"
"23","gli_Control_L2_S5R_C1.tif",86.27,"Control","Glia"
"24","gli_Control_L2_S5R_C3.tif",410.649,"Control","HRP"
"25","gli_Control_L3_S3L_C1.tif",195.776,"Control","Glia"
"26","gli_Control_L3_S3L_C3.tif",507.116,"Control","HRP"
"27","gli_Control_L3_S3R_C1.tif",166.052,"Control","Glia"
"28","gli_Control_L3_S3R_C3.tif",503.037,"Control","HRP"
"29","gli_Control_L3_S4L_C1.tif",41.219,"Control","Glia"
"30","gli_Control_L3_S4L_C3.tif",353.299,"Control","HRP"
"31","gli_Control_L3_S4R_C1.tif",115.315,"Control","Glia"
"32","gli_Control_L3_S4R_C3.tif",343.721,"Control","HRP"
"33","gli_Control_L3_S5L_C1.tif",98.568,"Control","Glia"
"34","gli_Control_L3_S5L_C3.tif",482.21,"Control","HRP"
"35","gli_Control_L3_S5R_C1.tif",52.467,"Control","Glia"
"36","gli_Control_L3_S5R_C3.tif",265.176,"Control","HRP"
"37","gli_Control_L4_S3L_C1.tif",132.865,"Control","Glia"
"38","gli_Control_L4_S3L_C3.tif",538.322,"Control","HRP"
"39","gli_Control_L4_S3R_C1.tif",76.753,"Control","Glia"
"40","gli_Control_L4_S3R_C3.tif",361.643,"Control","HRP"
"41","gli_Control_L4_S4L_C1.tif",45.854,"Control","Glia"
"42","gli_Control_L4_S4L_C3.tif",359.542,"Control","HRP"
"43","gli_Control_L4_S4R_C1.tif",54.568,"Control","Glia"
"44","gli_Control_L4_S4R_C3.tif",385.745,"Control","HRP"
"45","gli_Control_L4_S5L_C1.tif",81.883,"Control","Glia"
"46","gli_Control_L4_S5L_C3.tif",401.44,"Control","HRP"
"47","gli_Control_L4_S5R_C1.tif",114.636,"Control","Glia"
"48","gli_Control_L4_S5R_C3.tif",324.996,"Control","HRP"
"49","gli_Control_L5_S3L_C1.tif",198.928,"Control","Glia"
"50","gli_Control_L5_S3L_C3.tif",454.957,"Control","HRP"
"51","gli_Control_L5_S3R_C1.tif",152.147,"Control","Glia"
"52","gli_Control_L5_S3R_C3.tif",485.177,"Control","HRP"
"53","gli_Control_L5_S4L_C1.tif",51.107,"Control","Glia"
"54","gli_Control_L5_S4L_C3.tif",363.373,"Control","HRP"
"55","gli_Control_L5_S4R_C1.tif",122.916,"Control","Glia"
"56","gli_Control_L5_S4R_C3.tif",514.716,"Control","HRP"
"57","gli_Control_L5_S5L_C1.tif",56.978,"Control","Glia"
"58","gli_Control_L5_S5L_C3.tif",354.351,"Control","HRP"
"59","gli_Control_L5_S5R_C1.tif",5.376,"Control","Glia"
"60","gli_Control_L5_S5R_C3.tif",267.709,"Control","HRP"
"61","gli_RNAi_L1_S3L_C1.tif",127.86,"Gli RNAi","Glia"
"62","gli_RNAi_L1_S3L_C3.tif",471.767,"Gli RNAi","HRP"
"63","gli_RNAi_L1_S3R_C1.tif",146.585,"Gli RNAi","Glia"
"64","gli_RNAi_L1_S3R_C3.tif",551.116,"Gli RNAi","HRP"
"65","gli_RNAi_L1_S4L_C1.tif",0,"Gli RNAi","Glia"
"66","gli_RNAi_L1_S4L_C3.tif",349.84,"Gli RNAi","HRP"
"67","gli_RNAi_L1_S4R_C1.tif",115.501,"Gli RNAi","Glia"
"68","gli_RNAi_L1_S4R_C3.tif",383.458,"Gli RNAi","HRP"
"69","gli_RNAi_L1_S5L_C1.tif",32.259,"Gli RNAi","Glia"
