"","Label","sum_Area","condition","channel"
"1","lac_Control_L1_S3L_C1.tif",117.478,"Control","Glia"
"2","lac_Control_L1_S3L_C3.tif",454.587,"Control","HRP"
"3","lac_Control_L1_S3R_C1.tif",112.534,"Control","Glia"
"4","lac_Control_L1_S3R_C3.tif",384.323,"Control","HRP"
"5","lac_Control_L1_S4L_C1.tif",107.652,"Control","Glia"
"6","lac_Control_L1_S4L_C3.tif",354.289,"Control","HRP"
"7","lac_Control_L1_S4R_C1.tif",43.135,"Control","Glia"
"8","lac_Control_L1_S4R_C3.tif",343.289,"Control","HRP"
"9","lac_Control_L1_S5L_C1.tif",64.703,"Control","Glia"
"10","lac_Control_L1_S5L_C3.tif",289.216,"Control","HRP"
"11","lac_Control_L1_S5R_C1.tif",73.602,"Control","Glia"
"12","lac_Control_L1_S5R_C3.tif",344.71,"Control","HRP"
"13","lac_Control_L2_S3L_C1.tif",140.096,"Control","Glia"
"14","lac_Control_L2_S3L_C3.tif",413.8,"Control","HRP"
"15","lac_Control_L2_S3R_C1.tif",181.069,"Control","Glia"
"16","lac_Control_L2_S3R_C3.tif",531.524,"Control","HRP"
"17","lac_Control_L2_S4L_C1.tif",80.832,"Control","Glia"
"18","lac_Control_L2_S4L_C3.tif",475.475,"Control","HRP"
"19","lac_Control_L2_S4R_C1.tif",136.45,"Control","Glia"
"20","lac_Control_L2_S4R_C3.tif",338.592,"Control","HRP"
"21","lac_Control_L2_S5L_C1.tif",44.124,"Control","Glia"
"22","lac_Control_L2_S5L_C3.tif",310.536,"Control","HRP"
"23","lac_Control_L2_S5R_C1.tif",52.281,"Control","Glia"
"24","lac_Control_L2_S5R_C3.tif",356.637,"Control","HRP"
"25","lac_Control_L3_S3L_C1.tif",143.124,"Control","Glia"
"26","lac_Control_L3_S3L_C3.tif",337.789,"Control","HRP"
"27","lac_Control_L3_S3R_C1.tif",61.86,"Control","Glia"
"28","lac_Control_L3_S3R_C3.tif",493.952,"Control","HRP"
"29","lac_Control_L3_S4L_C1.tif",148.501,"Control","Glia"
"30","lac_Control_L3_S4L_C3.tif",422.761,"Control","HRP"
"31","lac_Control_L3_S4R_C1.tif",45.298,"Control","Glia"
"32","lac_Control_L3_S4R_C3.tif",345.018,"Control","HRP"
"33","lac_Control_L3_S5L_C1.tif",86.826,"Control","Glia"
"34","lac_Control_L3_S5L_C3.tif",364.795,"Control","HRP"
"35","lac_Control_L3_S5R_C1.tif",62.293,"Control","Glia"
"36","lac_Control_L3_S5R_C3.tif",239.159,"Control","HRP"
"37","lac_Control_L4_S3L_C1.tif",114.635,"Control","Glia"
"38","lac_Control_L4_S3L_C3.tif",593.138,"Control","HRP"
"39","lac_Control_L4_S3R_C1.tif",118.529,"Control","Glia"
"40","lac_Control_L4_S3R_C3.tif",410.833,"Control","HRP"
"41","lac_Control_L4_S4L_C1.tif",88.927,"Control","Glia"
"42","lac_Control_L4_S4L_C3.tif",269.008,"Control","HRP"
"43","lac_Control_L4_S4R_C1.tif",52.59,"Control","Glia"
"44","lac_Control_L4_S4R_C3.tif",246.019,"Control","HRP"
"45","lac_Control_L4_S5L_C1.tif",64.827,"Control","Glia"
"46","lac_Control_L4_S5L_C3.tif",282.479,"Control","HRP"
"47","lac_Control_L5_S3L_C1.tif",92.079,"Control","Glia"
"48","lac_Control_L5_S3L_C3.tif",419.981,"Control","HRP"
"49","lac_Control_L5_S3R_C1.tif",157.462,"Control","Glia"
"50","lac_Control_L5_S3R_C3.tif",694.796,"Control","HRP"
"51","lac_Control_L5_S4L_C1.tif",62.849,"Control","Glia"
"52","lac_Control_L5_S4L_C3.tif",335.378,"Control","HRP"
"53","lac_Control_L5_S4R_C1.tif",99.557,"Control","Glia"
"54","lac_Control_L5_S4R_C3.tif",550.498,"Control","HRP"
"55","lac_Control_L5_S5L_C1.tif",53.146,"Control","Glia"
"56","lac_Control_L5_S5L_C3.tif",255.844,"Control","HRP"
"57","lac_Control_L5_S5R_C1.tif",45.422,"Control","Glia"
"58","lac_Control_L5_S5R_C3.tif",355.092,"Control","HRP"
"59","lac_RNAi_L1_S3L_C1.tif",113.029,"Lac RNAi","Glia"
"60","lac_RNAi_L1_S3L_C3.tif",365.227,"Lac RNAi","HRP"
"61","lac_RNAi_L1_S3R_C1.tif",97.826,"Lac RNAi","Glia"
"62","lac_RNAi_L1_S3R_C3.tif",319.064,"Lac RNAi","HRP"
"63","lac_RNAi_L1_S4L_C1.tif",105.613,"Lac RNAi","Glia"
"64","lac_RNAi_L1_S4L_C3.tif",399.958,"Lac RNAi","HRP"
"65","lac_RNAi_L1_S4R_C1.tif",59.141,"Lac RNAi","Glia"
"66","lac_RNAi_L1_S4R_C3.tif",219.755,"Lac RNAi","HRP"
"67","lac_RNAi_L1_S5L_C1.tif",86.826,"Lac RNAi","Glia"
"68","lac_RNAi_L1_S5L_C3.tif",235.389,"Lac RNAi","HRP"
"69","lac_RNAi_L1_S5R_C1.tif",69.708,"Lac RNAi","Glia"
"70","lac_RNAi_L1_S5R_C3.tif",270.799,"Lac RNAi","HRP"
"71","lac_RNAi_L2_S3L_C1.tif",95.54,"Lac RNAi","Glia"
"72","lac_RNAi_L2_S3L_C3.tif",397.239,"Lac RNAi","HRP"
"73","lac_RNAi_L2_S3R_C1.tif",121.866,"Lac RNAi","Glia"
"74","lac_RNAi_L2_S3R_C3.tif",318.693,"Lac RNAi","HRP"
"75","lac_RNAi_L2_S4L_C1.tif",47.028,"Lac RNAi","Glia"
"76","lac_RNAi_L2_S4L_C3.tif",257.019,"Lac RNAi","HRP"
"77","lac_RNAi_L2_S4R_C1.tif",131.631,"Lac RNAi","Glia"
"78","lac_RNAi_L2_S4R_C3.tif",339.086,"Lac RNAi","HRP"
"79","lac_RNAi_L2_S5L_C1.tif",33.247,"Lac RNAi","Glia"
"80","lac_RNAi_L2_S5L_C3.tif",246.76,"Lac RNAi","HRP"
"81","lac_RNAi_L2_S5R_C1.tif",71.068,"Lac RNAi","Glia"
"82","lac_RNAi_L2_S5R_C3.tif",267.588,"Lac RNAi","HRP"
"83","lac_RNAi_L3_S3L_C1.tif",174.085,"Lac RNAi","Glia"
"84","lac_RNAi_L3_S3L_C3.tif",463.671,"Lac RNAi","HRP"
"85","lac_RNAi_L3_S3R_C1.tif",68.905,"Lac RNAi","Glia"
"86","lac_RNAi_L3_S3R_C3.tif",315.232,"Lac RNAi","HRP"
"87","lac_RNAi_L3_S4L_C1.tif",69.894,"Lac RNAi","Glia"
"88","lac_RNAi_L3_S4L_C3.tif",365.103,"Lac RNAi","HRP"
"89","lac_RNAi_L3_S4R_C1.tif",93.81,"Lac RNAi","Glia"
"90","lac_RNAi_L3_S4R_C3.tif",268.143,"Lac RNAi","HRP"
"91","lac_RNAi_L3_S5L_C1.tif",43.444,"Lac RNAi","Glia"
"92","lac_RNAi_L3_S5L_C3.tif",181.563,"Lac RNAi","HRP"
"93","lac_RNAi_L3_S5R_C1.tif",43.444,"Lac RNAi","Glia"
"94","lac_RNAi_L3_S5R_C3.tif",340.384,"Lac RNAi","HRP"
"95","lac_RNAi_L4_S3L_C1.tif",176.619,"Lac RNAi","Glia"
"96","lac_RNAi_L4_S3L_C3.tif",424.861,"Lac RNAi","HRP"
"97","lac_RNAi_L4_S3R_C1.tif",127.181,"Lac RNAi","Glia"
"98","lac_RNAi_L4_S3R_C3.tif",368.441,"Lac RNAi","HRP"
"99","lac_RNAi_L4_S4L_C1.tif",46.781,"Lac RNAi","Glia"
"100","lac_RNAi_L4_S4L_C3.tif",272.778,"Lac RNAi","HRP"
"101","lac_RNAi_L4_S4R_C1.tif",153.321,"Lac RNAi","Glia"
"102","lac_RNAi_L4_S4R_C3.tif",391.12,"Lac RNAi","HRP"
"103","lac_RNAi_L4_S5L_C1.tif",74.22,"Lac RNAi","Glia"
"104","lac_RNAi_L4_S5L_C3.tif",247.996,"Lac RNAi","HRP"
