"","Label","sum_Area","condition","channel"
"1","Control_30621_L1_S3L_C1.tif",147.882,"Control","Glia"
"2","Control_30621_L1_S3L_C3.tif",437.221,"Control","HRP"
"3","Control_30621_L1_S3R_C1.tif",136.203,"Control","Glia"
"4","Control_30621_L1_S3R_C3.tif",374.251,"Control","HRP"
"5","Control_30621_L1_S4L_C1.tif",80.956,"Control","Glia"
"6","Control_30621_L1_S4L_C3.tif",338.408,"Control","HRP"
"7","Control_30621_L1_S4R_C1.tif",121.557,"Control","Glia"
"8","Control_30621_L1_S4R_C3.tif",805.662,"Control","HRP"
"9","Control_30621_L1_S5L_C1.tif",103.512,"Control","Glia"
"10","Control_30621_L1_S5L_C3.tif",410.155,"Control","HRP"
"11","Control_30621_L1_S5R_C1.tif",84.602,"Control","Glia"
"12","Control_30621_L1_S5R_C3.tif",384.508,"Control","HRP"
"13","Control_30621_L2_S3L_C1.tif",180.759,"Control","Glia"
"14","Control_30621_L2_S3L_C3.tif",465.03,"Control","HRP"
"15","Control_30621_L2_S3R_C1.tif",133.793,"Control","Glia"
"16","Control_30621_L2_S3R_C3.tif",521.824,"Control","HRP"
"17","Control_30621_L2_S4L_C1.tif",58.152,"Control","Glia"
"18","Control_30621_L2_S4L_C3.tif",465.03,"Control","HRP"
"19","Control_30621_L2_S4R_C1.tif",37.326,"Control","Glia"
"20","Control_30621_L2_S4R_C3.tif",286.249,"Control","HRP"
"21","Control_30621_L2_S5L_C1.tif",144.793,"Control","Glia"
"22","Control_30621_L2_S5L_C3.tif",491.975,"Control","HRP"
"23","Control_30621_L2_S5R_C1.tif",79.225,"Control","Glia"
"24","Control_30621_L2_S5R_C3.tif",385.929,"Control","HRP"
"25","Control_30621_L3_S3L_C1.tif",167.411,"Control","Glia"
"26","Control_30621_L3_S3L_C3.tif",409.721,"Control","HRP"
"27","Control_30621_L3_S3R_C1.tif",201.71,"Control","Glia"
"28","Control_30621_L3_S3R_C3.tif",542.589,"Control","HRP"
"29","Control_30621_L3_S4L_C1.tif",14.214,"Control","Glia"
"30","Control_30621_L3_S4L_C3.tif",402.553,"Control","HRP"
"31","Control_30621_L3_S4R_C1.tif",71.129,"Control","Glia"
"32","Control_30621_L3_S4R_C3.tif",416.581,"Control","HRP"
"33","Control_30621_L3_S5L_C1.tif",41.899,"Control","Glia"
"34","Control_30621_L3_S5L_C3.tif",268.698,"Control","HRP"
"35","Control_30621_L3_S5R_C1.tif",83.119,"Control","Glia"
"36","Control_30621_L3_S5R_C3.tif",287.115,"Control","HRP"
"37","Control_30621_L4_S3L_C1.tif",67.236,"Control","Glia"
"38","Control_30621_L4_S3L_C3.tif",335.192,"Control","HRP"
"39","Control_30621_L4_S3R_C1.tif",75.208,"Control","Glia"
"40","Control_30621_L4_S3R_C3.tif",361.334,"Control","HRP"
"41","Control_30621_L4_S4L_C1.tif",30.837,"Control","Glia"
"42","Control_30621_L4_S4L_C3.tif",225.13,"Control","HRP"
"43","Control_30621_L4_S4R_C1.tif",23.051,"Control","Glia"
"44","Control_30621_L4_S4R_C3.tif",323.946,"Control","HRP"
"45","Control_30621_L4_S5L_C1.tif",24.657,"Control","Glia"
"46","Control_30621_L4_S5L_C3.tif",299.474,"Control","HRP"
"47","Control_30621_L4_S5R_C1.tif",36.708,"Control","Glia"
"48","Control_30621_L4_S5R_C3.tif",200.287,"Control","HRP"
"49","Control_30621_L5_S3L_C1.tif",114.573,"Control","Glia"
"50","Control_30621_L5_S3L_C3.tif",550.003,"Control","HRP"
"51","Control_30621_L5_S3R_C1.tif",105.489,"Control","Glia"
"52","Control_30621_L5_S3R_C3.tif",542.711,"Control","HRP"
"53","Control_30621_L5_S4L_C1.tif",111.731,"Control","Glia"
"54","Control_30621_L5_S4L_C3.tif",455.327,"Control","HRP"
"55","Control_30621_L5_S4R_C1.tif",92.017,"Control","Glia"
"56","Control_30621_L5_S4R_C3.tif",440.373,"Control","HRP"
"57","Control_30621_L5_S5L_C1.tif",56.236,"Control","Glia"
"58","Control_30621_L5_S5L_C3.tif",346.626,"Control","HRP"
"59","Control_30621_L5_S5R_C1.tif",27.871,"Control","Glia"
"60","Control_30621_L5_S5R_C3.tif",444.205,"Control","HRP"
