"","Label","sum_Area","condition","channel"
"1","Control_lost_Kstim_5721_L1_S3L_C1.tif",105.86,"Control","Glia"
"2","Control_lost_Kstim_5721_L1_S3L_C3.tif",324.75,"Control","HRP"
"3","Control_lost_Kstim_5721_L1_S3R_C1.tif",77,"Control","Glia"
"4","Control_lost_Kstim_5721_L1_S3R_C3.tif",338.408,"Control","HRP"
"5","Control_lost_Kstim_5721_L1_S4L_C1.tif",57.658,"Control","Glia"
"6","Control_lost_Kstim_5721_L1_S4L_C3.tif",326.294,"Control","HRP"
"7","Control_lost_Kstim_5721_L1_S4R_C1.tif",24.966,"Control","Glia"
"8","Control_lost_Kstim_5721_L1_S4R_C3.tif",265.175,"Control","HRP"
"9","Control_lost_Kstim_5721_L1_S5L_C1.tif",83.551,"Control","Glia"
"10","Control_lost_Kstim_5721_L1_S5L_C3.tif",274.94,"Control","HRP"
"11","Control_lost_Kstim_5721_L1_S5R_C1.tif",61.057,"Control","Glia"
"12","Control_lost_Kstim_5721_L1_S5R_C3.tif",246.018,"Control","HRP"
"13","Control_lost_Kstim_5721_L2_S3L_C1.tif",86.641,"Control","Glia"
"14","Control_lost_Kstim_5721_L2_S3L_C3.tif",396.682,"Control","HRP"
"15","Control_lost_Kstim_5721_L2_S3R_C1.tif",57.225,"Control","Glia"
"16","Control_lost_Kstim_5721_L2_S3R_C3.tif",216.48,"Control","HRP"
"17","Control_lost_Kstim_5721_L2_S4L_C1.tif",22.186,"Control","Glia"
"18","Control_lost_Kstim_5721_L2_S4L_C3.tif",289.215,"Control","HRP"
"19","Control_lost_Kstim_5721_L2_S4R_C1.tif",30.343,"Control","Glia"
"20","Control_lost_Kstim_5721_L2_S4R_C3.tif",243.423,"Control","HRP"
"21","Control_lost_Kstim_5721_L2_S5L_C1.tif",12.36,"Control","Glia"
"22","Control_lost_Kstim_5721_L2_S5L_C3.tif",214.749,"Control","HRP"
"23","Control_lost_Kstim_5721_L2_S5R_C1.tif",57.658,"Control","Glia"
"24","Control_lost_Kstim_5721_L2_S5R_C3.tif",306.21,"Control","HRP"
"25","Control_lost_Kstim_5721_L3_S3L_C1.tif",109.692,"Control","Glia"
"26","Control_lost_Kstim_5721_L3_S3L_C3.tif",384.384,"Control","HRP"
"27","Control_lost_Kstim_5721_L3_S3R_C1.tif",97.58,"Control","Glia"
"28","Control_lost_Kstim_5721_L3_S3R_C3.tif",523,"Control","HRP"
"29","Control_lost_Kstim_5721_L3_S4L_C1.tif",71.685,"Control","Glia"
"30","Control_lost_Kstim_5721_L3_S4L_C3.tif",339.209,"Control","HRP"
"31","Control_lost_Kstim_5721_L3_S4R_C1.tif",38.192,"Control","Glia"
"32","Control_lost_Kstim_5721_L3_S4R_C3.tif",378.637,"Control","HRP"
"33","Control_lost_Kstim_5721_L3_S5L_C1.tif",61.736,"Control","Glia"
"34","Control_lost_Kstim_5721_L3_S5L_C3.tif",287.546,"Control","HRP"
"35","Control_lost_Kstim_5721_L3_S5R_C1.tif",109.445,"Control","Glia"
"36","Control_lost_Kstim_5721_L3_S5R_C3.tif",365.042,"Control","HRP"
"37","Control_lost_Kstim_5721_L4_S3L_C1.tif",128.292,"Control","Glia"
"38","Control_lost_Kstim_5721_L4_S3L_C3.tif",604.201,"Control","HRP"
"39","Control_lost_Kstim_5721_L4_S3R_C1.tif",135.647,"Control","Glia"
"40","Control_lost_Kstim_5721_L4_S3R_C3.tif",438.519,"Control","HRP"
"41","Control_lost_Kstim_5721_L4_S4L_C1.tif",82.191,"Control","Glia"
"42","Control_lost_Kstim_5721_L4_S4L_C3.tif",495.499,"Control","HRP"
"43","Control_lost_Kstim_5721_L4_S4R_C1.tif",68.472,"Control","Glia"
"44","Control_lost_Kstim_5721_L4_S4R_C3.tif",361.89,"Control","HRP"
"45","Control_lost_Kstim_5721_L4_S5L_C1.tif",62.787,"Control","Glia"
"46","Control_lost_Kstim_5721_L4_S5L_C3.tif",500.503,"Control","HRP"
"47","Control_lost_Kstim_5721_L4_S5R_C1.tif",32.197,"Control","Glia"
"48","Control_lost_Kstim_5721_L4_S5R_C3.tif",353.733,"Control","HRP"
"49","Control_lost_Kstim_5721_L5_S3L_C1.tif",56.175,"Control","Glia"
"50","Control_lost_Kstim_5721_L5_S3L_C3.tif",298.053,"Control","HRP"
"51","Control_lost_Kstim_5721_L5_S3R_C1.tif",127.86,"Control","Glia"
"52","Control_lost_Kstim_5721_L5_S3R_C3.tif",519.352,"Control","HRP"
"53","Control_lost_Kstim_5721_L5_S4L_C1.tif",30.157,"Control","Glia"
"54","Control_lost_Kstim_5721_L5_S4L_C3.tif",325.985,"Control","HRP"
"55","Control_lost_Kstim_5721_L5_S4R_C1.tif",24.657,"Control","Glia"
"56","Control_lost_Kstim_5721_L5_S4R_C3.tif",330.497,"Control","HRP"
"57","Control_lost_Kstim_5721_L5_S5L_C1.tif",19.776,"Control","Glia"
"58","Control_lost_Kstim_5721_L5_S5L_C3.tif",274.57,"Control","HRP"
"59","Control_lost_Kstim_5721_L5_S5R_C1.tif",61.242,"Control","Glia"
"60","Control_lost_Kstim_5721_L5_S5R_C3.tif",343.04,"Control","HRP"
"61","lost_RNAi_Kstim_5721_L1_S3L_C1.tif",173.22,"lost RNAi","Glia"
"62","lost_RNAi_Kstim_5721_L1_S3L_C3.tif",565.08,"lost RNAi","HRP"
"63","lost_RNAi_Kstim_5721_L1_S3R_C1.tif",210.175,"lost RNAi","Glia"
"64","lost_RNAi_Kstim_5721_L1_S3R_C3.tif",694.612,"lost RNAi","HRP"
"65","lost_RNAi_Kstim_5721_L1_S4L_C1.tif",56.298,"lost RNAi","Glia"
"66","lost_RNAi_Kstim_5721_L1_S4L_C3.tif",321.598,"lost RNAi","HRP"
"67","lost_RNAi_Kstim_5721_L1_S4R_C1.tif",68.596,"lost RNAi","Glia"
"68","lost_RNAi_Kstim_5721_L1_S4R_C3.tif",598.824,"lost RNAi","HRP"
"69","lost_RNAi_Kstim_5721_L1_S5L_C1.tif",69.955,"lost RNAi","Glia"
"70","lost_RNAi_Kstim_5721_L1_S5L_C3.tif",342.794,"lost RNAi","HRP"
"71","lost_RNAi_Kstim_5721_L1_S5R_C1.tif",75.888,"lost RNAi","Glia"
"72","lost_RNAi_Kstim_5721_L1_S5R_C3.tif",451.126,"lost RNAi","HRP"
"73","lost_RNAi_Kstim_5721_L2_S3L_C1.tif",117.169,"lost RNAi","Glia"
"74","lost_RNAi_Kstim_5721_L2_S3L_C3.tif",398.722,"lost RNAi","HRP"
"75","lost_RNAi_Kstim_5721_L2_S3R_C1.tif",68.657,"lost RNAi","Glia"
"76","lost_RNAi_Kstim_5721_L2_S3R_C3.tif",419.609,"lost RNAi","HRP"
"77","lost_RNAi_Kstim_5721_L2_S4L_C1.tif",77.68,"lost RNAi","Glia"
"78","lost_RNAi_Kstim_5721_L2_S4L_C3.tif",343.474,"lost RNAi","HRP"
"79","lost_RNAi_Kstim_5721_L2_S4R_C1.tif",0,"lost RNAi","Glia"
"80","lost_RNAi_Kstim_5721_L2_S4R_C3.tif",231.867,"lost RNAi","HRP"
"81","lost_RNAi_Kstim_5721_L2_S5L_C1.tif",34.916,"lost RNAi","Glia"
"82","lost_RNAi_Kstim_5721_L2_S5L_C3.tif",351.137,"lost RNAi","HRP"
"83","lost_RNAi_Kstim_5721_L2_S5R_C1.tif",38.129,"lost RNAi","Glia"
"84","lost_RNAi_Kstim_5721_L2_S5R_C3.tif",268.388,"lost RNAi","HRP"
"85","lost_RNAi_Kstim_5721_L3_S3L_C1.tif",138.923,"lost RNAi","Glia"
"86","lost_RNAi_Kstim_5721_L3_S3L_C3.tif",511.626,"lost RNAi","HRP"
"87","lost_RNAi_Kstim_5721_L3_S3R_C1.tif",84.725,"lost RNAi","Glia"
"88","lost_RNAi_Kstim_5721_L3_S3R_C3.tif",373.817,"lost RNAi","HRP"
"89","lost_RNAi_Kstim_5721_L3_S4L_C1.tif",111.546,"lost RNAi","Glia"
"90","lost_RNAi_Kstim_5721_L3_S4L_C3.tif",414.232,"lost RNAi","HRP"
"91","lost_RNAi_Kstim_5721_L3_S4R_C1.tif",108.579,"lost RNAi","Glia"
"92","lost_RNAi_Kstim_5721_L3_S4R_C3.tif",362.632,"lost RNAi","HRP"
"93","lost_RNAi_Kstim_5721_L3_S5L_C1.tif",40.972,"lost RNAi","Glia"
"94","lost_RNAi_Kstim_5721_L3_S5L_C3.tif",329.323,"lost RNAi","HRP"
"95","lost_RNAi_Kstim_5721_L4_S3L_C1.tif",265.732,"lost RNAi","Glia"
"96","lost_RNAi_Kstim_5721_L4_S3L_C3.tif",408.053,"lost RNAi","HRP"
"97","lost_RNAi_Kstim_5721_L4_S3R_C1.tif",91.894,"lost RNAi","Glia"
"98","lost_RNAi_Kstim_5721_L4_S3R_C3.tif",477.514,"lost RNAi","HRP"
"99","lost_RNAi_Kstim_5721_L4_S4L_C1.tif",124.585,"lost RNAi","Glia"
"100","lost_RNAi_Kstim_5721_L4_S4L_C3.tif",406.879,"lost RNAi","HRP"
"101","lost_RNAi_Kstim_5721_L4_S4R_C1.tif",67.854,"lost RNAi","Glia"
"102","lost_RNAi_Kstim_5721_L4_S4R_C3.tif",223.03,"lost RNAi","HRP"
"103","lost_RNAi_Kstim_5721_L4_S5L_C1.tif",63.405,"lost RNAi","Glia"
"104","lost_RNAi_Kstim_5721_L4_S5L_C3.tif",323.637,"lost RNAi","HRP"
"105","lost_RNAi_Kstim_5721_L4_S5R_C1.tif",69.214,"lost RNAi","Glia"
"106","lost_RNAi_Kstim_5721_L4_S5R_C3.tif",377.835,"lost RNAi","HRP"
"107","lost_RNAi_Kstim_5721_L5_S3L_C1.tif",139.355,"lost RNAi","Glia"
"108","lost_RNAi_Kstim_5721_L5_S3L_C3.tif",579.666,"lost RNAi","HRP"
"109","lost_RNAi_Kstim_5721_L5_S4L_C1.tif",108.703,"lost RNAi","Glia"
"110","lost_RNAi_Kstim_5721_L5_S4L_C3.tif",336.613,"lost RNAi","HRP"
"111","lost_RNAi_Kstim_5721_L5_S4R_C1.tif",25.276,"lost RNAi","Glia"
"112","lost_RNAi_Kstim_5721_L5_S4R_C3.tif",277.103,"lost RNAi","HRP"
"113","lost_RNAi_Kstim_5721_L5_S5L_C1.tif",52.219,"lost RNAi","Glia"
"114","lost_RNAi_Kstim_5721_L5_S5L_C3.tif",410.03,"lost RNAi","HRP"
"115","lost_RNAi_Kstim_5721_L5_S5R_C1.tif",39.984,"lost RNAi","Glia"
"116","lost_RNAi_Kstim_5721_L5_S5R_C3.tif",219.137,"lost RNAi","HRP"
