"","Label","sum_Area","condition","channel"
"1","Contol_nrg_KStim_30621_L1_S3L_C1.tif",142.877,"Control","Glia"
"2","Contol_nrg_KStim_30621_L1_S3L_C3.tif",396.867,"Control","HRP"
"3","Contol_nrg_KStim_30621_L1_S3R_C1.tif",6.118,"Control","Glia"
"4","Contol_nrg_KStim_30621_L1_S3R_C3.tif",246.019,"Control","HRP"
"5","Contol_nrg_KStim_30621_L1_S4L_C1.tif",186.136,"Control","Glia"
"6","Contol_nrg_KStim_30621_L1_S4L_C3.tif",383.829,"Control","HRP"
"7","Contol_nrg_KStim_30621_L1_S4R_C1.tif",83.613,"Control","Glia"
"8","Contol_nrg_KStim_30621_L1_S4R_C3.tif",487.773,"Control","HRP"
"9","Contol_nrg_KStim_30621_L1_S5L_C1.tif",100.175,"Control","Glia"
"10","Contol_nrg_KStim_30621_L1_S5L_C3.tif",426.407,"Control","HRP"
"11","Contol_nrg_KStim_30621_L1_S5R_C1.tif",104.563,"Control","Glia"
"12","Contol_nrg_KStim_30621_L1_S5R_C3.tif",447.233,"Control","HRP"
"13","Contol_nrg_KStim_30621_L2_S3L_C1.tif",65.568,"Control","Glia"
"14","Contol_nrg_KStim_30621_L2_S3L_C3.tif",299.969,"Control","HRP"
"15","Contol_nrg_KStim_30621_L2_S3R_C1.tif",172.664,"Control","Glia"
"16","Contol_nrg_KStim_30621_L2_S3R_C3.tif",477.576,"Control","HRP"
"17","Contol_nrg_KStim_30621_L2_S4L_C1.tif",132.186,"Control","Glia"
"18","Contol_nrg_KStim_30621_L2_S4L_C3.tif",395.137,"Control","HRP"
"19","Contol_nrg_KStim_30621_L2_S4R_C1.tif",94.242,"Control","Glia"
"20","Contol_nrg_KStim_30621_L2_S4R_C3.tif",500.689,"Control","HRP"
"21","Contol_nrg_KStim_30621_L2_S5L_C1.tif",56.545,"Control","Glia"
"22","Contol_nrg_KStim_30621_L2_S5L_C3.tif",331.362,"Control","HRP"
"23","Contol_nrg_KStim_30621_L2_S5R_C1.tif",75.703,"Control","Glia"
"24","Contol_nrg_KStim_30621_L2_S5R_C3.tif",391.985,"Control","HRP"
"25","Contol_nrg_KStim_30621_L3_S3L_C1.tif",95.169,"Control","Glia"
"26","Contol_nrg_KStim_30621_L3_S3L_C3.tif",475.042,"Control","HRP"
"27","Contol_nrg_KStim_30621_L3_S3R_C1.tif",137.81,"Control","Glia"
"28","Contol_nrg_KStim_30621_L3_S3R_C3.tif",613.408,"Control","HRP"
"29","Contol_nrg_KStim_30621_L3_S4L_C1.tif",61.427,"Control","Glia"
"30","Contol_nrg_KStim_30621_L3_S4L_C3.tif",517.436,"Control","HRP"
"31","Contol_nrg_KStim_30621_L3_S4R_C1.tif",56.978,"Control","Glia"
"32","Contol_nrg_KStim_30621_L3_S4R_C3.tif",412.132,"Control","HRP"
"33","Contol_nrg_KStim_30621_L3_S5L_C1.tif",71.809,"Control","Glia"
"34","Contol_nrg_KStim_30621_L3_S5L_C3.tif",332.968,"Control","HRP"
"35","Contol_nrg_KStim_30621_L3_S5R_C1.tif",44.247,"Control","Glia"
"36","Contol_nrg_KStim_30621_L3_S5R_C3.tif",362.755,"Control","HRP"
"37","Contol_nrg_KStim_30621_L4_S3L_C1.tif",92.265,"Control","Glia"
"38","Contol_nrg_KStim_30621_L4_S3L_C3.tif",500.936,"Control","HRP"
"39","Contol_nrg_KStim_30621_L4_S3R_C1.tif",78.175,"Control","Glia"
"40","Contol_nrg_KStim_30621_L4_S3R_C3.tif",302.377,"Control","HRP"
"41","Contol_nrg_KStim_30621_L4_S4L_C1.tif",105.489,"Control","Glia"
"42","Contol_nrg_KStim_30621_L4_S4L_C3.tif",516.941,"Control","HRP"
"43","Contol_nrg_KStim_30621_L4_S4R_C1.tif",98.939,"Control","Glia"
"44","Contol_nrg_KStim_30621_L4_S4R_C3.tif",279.203,"Control","HRP"
"45","Contol_nrg_KStim_30621_L4_S5L_C1.tif",70.45,"Control","Glia"
"46","Contol_nrg_KStim_30621_L4_S5L_C3.tif",339.704,"Control","HRP"
"47","Contol_nrg_KStim_30621_L4_S5R_C1.tif",111.298,"Control","Glia"
"48","Contol_nrg_KStim_30621_L4_S5R_C3.tif",288.041,"Control","HRP"
"49","Contol_nrg_KStim_30621_L5_S3L_C1.tif",269.254,"Control","Glia"
"50","Contol_nrg_KStim_30621_L5_S3L_C3.tif",652.28,"Control","HRP"
"51","Contol_nrg_KStim_30621_L5_S3R_C1.tif",68.72,"Control","Glia"
"52","Contol_nrg_KStim_30621_L5_S3R_C3.tif",350.149,"Control","HRP"
"53","Contol_nrg_KStim_30621_L5_S4L_C1.tif",95.972,"Control","Glia"
"54","Contol_nrg_KStim_30621_L5_S4L_C3.tif",476.958,"Control","HRP"
"55","Contol_nrg_KStim_30621_L5_S4R_C1.tif",167.535,"Control","Glia"
"56","Contol_nrg_KStim_30621_L5_S4R_C3.tif",484.003,"Control","HRP"
"57","Contol_nrg_KStim_30621_L5_S5L_C1.tif",101.473,"Control","Glia"
"58","Contol_nrg_KStim_30621_L5_S5L_C3.tif",371.839,"Control","HRP"
"59","Contol_nrg_KStim_30621_L5_S5R_C1.tif",133.793,"Control","Glia"
"60","Contol_nrg_KStim_30621_L5_S5R_C3.tif",369.183,"Control","HRP"
"61","nrg_RNAi_30621_L1_S3L_C1.tif",221.732,"Nrg RNAi","Glia"
"62","nrg_RNAi_30621_L1_S3L_C3.tif",731.504,"Nrg RNAi","HRP"
"63","nrg_RNAi_30621_L1_S3R_C1.tif",151.838,"Nrg RNAi","Glia"
"64","nrg_RNAi_30621_L1_S3R_C3.tif",533.442,"Nrg RNAi","HRP"
"65","nrg_RNAi_30621_L1_S4L_C1.tif",142.692,"Nrg RNAi","Glia"
