...1,Label,sum_Area,condition,channel
135,MAX_20220210_Kstim_250122_No2_Control_L1_S2L_C1.tif,241.15,Control,Glia
136,MAX_20220210_Kstim_250122_No2_Control_L1_S2L_C3.tif,613.533,Control,HRP
137,MAX_20220210_Kstim_250122_No2_Control_L1_S2R_C1.tif,165.274,Control,Glia
138,MAX_20220210_Kstim_250122_No2_Control_L1_S2R_C3.tif,632.787,Control,HRP
139,MAX_20220210_Kstim_250122_No2_Control_L1_S3L_C1.tif,77.153,Control,Glia
140,MAX_20220210_Kstim_250122_No2_Control_L1_S3L_C3.tif,343.598,Control,HRP
141,MAX_20220210_Kstim_250122_No2_Control_L1_S3R_C1.tif,93.75,Control,Glia
142,MAX_20220210_Kstim_250122_No2_Control_L1_S3R_C3.tif,311.873,Control,HRP
143,MAX_20220210_Kstim_250122_No2_Control_L1_S4L_C1.tif,7.791,Control,Glia
144,MAX_20220210_Kstim_250122_No2_Control_L1_S4L_C3.tif,150.009,Control,HRP
145,MAX_20220210_Kstim_250122_No2_Control_L1_S4R_C1.tif,40.163,Control,Glia
146,MAX_20220210_Kstim_250122_No2_Control_L1_S4R_C3.tif,306.274,Control,HRP
147,MAX_20220210_Kstim_250122_No2_Control_L1_S5L_C1.tif,52.567,Control,Glia
148,MAX_20220210_Kstim_250122_No2_Control_L1_S5L_C3.tif,247.171,Control,HRP
149,MAX_20220210_Kstim_250122_No2_Control_L1_S5R_C1.tif,58.106,Control,Glia
150,MAX_20220210_Kstim_250122_No2_Control_L1_S5R_C3.tif,298.264,Control,HRP
151,MAX_20220210_Kstim_250122_No2_Control_L2_S2L_C1.tif,313.647,Control,Glia
152,MAX_20220210_Kstim_250122_No2_Control_L2_S2L_C3.tif,929.424,Control,HRP
153,MAX_20220210_Kstim_250122_No2_Control_L2_S3R_C1.tif,128.334,Control,Glia
154,MAX_20220210_Kstim_250122_No2_Control_L2_S3R_C3.tif,439.514,Control,HRP
155,MAX_20220210_Kstim_250122_No2_Control_L2_S4R_C1.tif,104.843,Control,Glia
156,MAX_20220210_Kstim_250122_No2_Control_L2_S4R_C3.tif,321.747,Control,HRP
157,MAX_20220210_Kstim_250122_No2_Control_L2_S5L_C1.tif,5.738,Control,Glia
158,MAX_20220210_Kstim_250122_No2_Control_L2_S5L_C3.tif,178.067,Control,HRP
159,MAX_20220210_Kstim_250122_No2_Control_L2_S5R_C1.tif,36.078,Control,Glia
160,MAX_20220210_Kstim_250122_No2_Control_L2_S5R_C3.tif,263.339,Control,HRP
161,MAX_20220210_Kstim_250122_No2_Control_L3_S2L_C1.tif,239.621,Control,Glia
162,MAX_20220210_Kstim_250122_No2_Control_L3_S2L_C3.tif,506.049,Control,HRP
163,MAX_20220210_Kstim_250122_No2_Control_L3_S2R_C1.tif,399.335,Control,Glia
164,MAX_20220210_Kstim_250122_No2_Control_L3_S2R_C3.tif,689.115,Control,HRP
165,MAX_20220210_Kstim_250122_No2_Control_L3_S3L_C1.tif,75.192,Control,Glia
166,MAX_20220210_Kstim_250122_No2_Control_L3_S3L_C3.tif,242.413,Control,HRP
167,MAX_20220210_Kstim_250122_No2_Control_L3_S3R_C1.tif,61.879,Control,Glia
168,MAX_20220210_Kstim_250122_No2_Control_L3_S3R_C3.tif,334.963,Control,HRP
169,MAX_20220210_Kstim_250122_No2_Control_L3_S4L_C1.tif,64.009,Control,Glia
170,MAX_20220210_Kstim_250122_No2_Control_L3_S4L_C3.tif,300.868,Control,HRP
171,MAX_20220210_Kstim_250122_No2_Control_L3_S4R_C1.tif,85.087,Control,Glia
172,MAX_20220210_Kstim_250122_No2_Control_L3_S4R_C3.tif,273.4,Control,HRP
173,MAX_20220210_Kstim_250122_No2_Control_L3_S5L_C1.tif,33.31,Control,Glia
174,MAX_20220210_Kstim_250122_No2_Control_L3_S5L_C3.tif,208.605,Control,HRP
175,MAX_20220210_Kstim_250122_No2_Control_L4_S2L_C1.tif,212.733,Control,Glia
176,MAX_20220210_Kstim_250122_No2_Control_L4_S2L_C3.tif,501.579,Control,HRP
177,MAX_20220210_Kstim_250122_No2_Control_L4_S3R_C1.tif,35.828,Control,Glia
