Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,6
Control,1,3R,2,1
Control,1,4L,3,5
Control,1,4R,4,6
Control,1,5L,5,3
Control,1,5R,6,5
Control,2,3L,7,9
Control,2,3R,8,6
Control,2,4L,9,12
Control,2,4R,10,0
Control,2,5L,11,2
Control,2,5R,12,0
Control,3,3L,13,3
Control,3,3R,14,2
Control,3,4L,15,3
Control,3,4R,16,5
Control,3,5L,17,5
Control,3,5R,18,9
Control,4,3L,19,2
Control,4,3R,20,0
Control,4,4L,21,0
Control,4,4R,22,1
Control,4,5L,23,0
Control,4,5R,24,2
Control,5,3L,25,3
Control,5,3R,26,6
Control,5,4L,27,10
Control,5,4R,28,1
Control,5,5L,29,1
Control,5,5R,30,4
RNAi,1,3L,1,7
RNAi,1,3R,2,4
RNAi,1,4L,3,6
RNAi,1,4R,4,14
RNAi,1,5L,5,4
RNAi,1,5R,6,12
RNAi,2,3L,7,3
RNAi,2,3R,8,3
RNAi,2,4L,9,2
RNAi,2,4R,10,23
RNAi,2,5L,11,5
RNAi,2,5R,12,8
RNAi,3,3L,13,2
RNAi,3,3R,14,13
RNAi,3,4L,15,9
RNAi,3,4R,16,12
RNAi,3,5L,17,1
RNAi,3,5R,18,3
RNAi,4,3L,19,17
RNAi,4,3R,20,9
RNAi,4,4L,21,7
RNAi,4,4R,22,3
RNAi,4,5L,23,2
RNAi,4,5R,24,2
RNAi,5,3L,25,5
RNAi,5,3R,26,4
RNAi,5,4L,27,14
RNAi,5,5L,28,9
RNAi,5,5R,29,19
