Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,7
Control,1,3R,2,1
Control,1,4L,3,2
Control,1,4R,4,9
Control,1,5L,5,3
Control,1,5R,6,11
Control,2,3L,7,6
Control,2,3R,8,1
Control,2,4L,9,8
Control,2,4R,10,4
Control,2,5L,11,3
Control,2,5R,12,1
Control,3,3L,13,2
Control,3,3R,14,0
Control,3,4L,15,2
Control,3,4R,16,1
Control,3,5L,17,4
Control,3,5R,18,0
Control,4,3L,19,9
Control,4,3R,20,7
Control,4,4L,21,4
Control,4,4R,22,15
Control,4,5L,23,7
Control,4,5R,24,2
Control,5,3L,25,6
Control,5,3R,26,5
Control,5,4L,27,3
Control,5,4R,28,1
Control,5,5L,29,7
Control,5,5R,30,1
RNAi,1,3L,1,0
RNAi,1,3R,2,1
RNAi,1,4L,3,1
RNAi,1,4R,4,0
RNAi,1,5L,5,6
RNAi,1,5R,6,0
RNAi,2,3L,7,6
RNAi,2,3R,8,1
RNAi,2,4L,9,5
RNAi,2,4R,10,19
RNAi,2,5L,11,1
RNAi,2,5R,12,4
RNAi,3,3L,13,2
RNAi,3,3R,14,0
RNAi,3,4L,15,0
RNAi,3,4R,16,1
RNAi,3,5L,17,1
RNAi,3,5R,18,4
RNAi,4,3L,19,11
RNAi,4,3R,20,13
RNAi,4,4L,21,1
RNAi,4,4R,22,14
RNAi,4,5L,23,0
RNAi,4,5R,24,12
RNAi,5,3L,25,10
RNAi,5,3R,26,0
RNAi,5,4L,27,6
RNAi,5,4R,28,6
RNAi,5,5L,29,5
RNAi,5,5R,30,6
