Set,Larva,Segment,NMJ,Boutons
Control,1,3R,1,6
Control,1,4L,2,0
Control,1,4R,3,5
Control,1,5L,4,2
Control,2,3R,5,0
Control,2,4R,6,0
Control,2,5L,7,0
Control,2,5R,8,0
Control,3,3L,9,3
Control,3,3R,10,5
Control,3,4L,11,8
Control,3,4R,12,6
Control,3,5L,13,1
Control,3,5R,14,1
Control,4,3L,15,8
Control,4,3R,16,3
Control,4,4L,17,15
Control,4,4R,18,7
Control,4,5L,19,1
Control,4,5R,20,2
Control,5,3L,21,0
Control,5,3R,22,0
Control,5,4L,23,0
Control,5,4R,24,0
Control,5,5L,25,0
Control,5,5R,26,0
RNAi,1,3L,1,3
RNAi,1,3R,2,6
RNAi,1,4L,3,20
RNAi,1,4R,4,16
RNAi,1,5L,5,11
RNAi,1,5R,6,11
RNAi,2,3L,7,10
RNAi,2,3R,8,6
RNAi,2,4L,9,3
RNAi,2,4R,10,4
RNAi,2,5L,11,10
RNAi,2,5R,12,4
RNAi,3,3L,13,7
RNAi,3,3R,14,4
RNAi,3,4L,15,23
RNAi,3,4R,16,17
RNAi,3,5L,17,12
RNAi,3,5R,18,9
RNAi,4,3L,19,7
RNAi,4,3R,20,7
RNAi,4,4L,21,11
RNAi,4,4R,22,15
RNAi,4,5L,23,10
RNAi,4,5R,24,11
RNAi,5,3L,25,11
RNAi,5,3R,26,12
RNAi,5,4L,27,1
RNAi,5,4R,28,5
RNAi,5,5L,29,10
RNAi,5,5R,30,11
