Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,5
Control,1,3R,2,2
Control,1,4L,3,1
Control,1,4R,4,4
Control,1,5L,5,5
Control,1,5R,6,3
Control,2,3L,7,0
Control,2,3R,8,2
Control,2,4L,9,0
Control,2,4R,10,0
Control,2,5L,11,0
Control,2,5R,12,3
Control,3,3L,13,4
Control,3,3R,14,3
Control,3,4L,15,3
Control,3,4R,16,9
Control,3,5L,17,0
Control,3,5R,18,1
Control,4,3L,19,0
Control,4,3R,20,0
Control,4,4L,21,0
Control,4,4R,22,0
Control,4,5L,23,1
Control,4,5R,24,2
Control,5,3L,25,5
Control,5,3R,26,2
Control,5,4L,27,3
Control,5,4R,28,6
Control,5,5L,29,5
Control,5,5R,30,4
RNAi,1,3L,1,2
RNAi,1,3R,2,4
RNAi,1,4L,3,0
RNAi,1,4R,4,7
RNAi,1,5L,5,12
RNAi,1,5R,6,4
RNAi,2,3L,7,8
RNAi,2,3R,8,3
RNAi,2,4L,9,0
RNAi,2,4R,10,2
RNAi,2,5L,11,4
RNAi,2,5R,12,4
RNAi,3,3L,13,0
RNAi,3,3R,14,1
RNAi,3,4L,15,0
RNAi,3,4R,16,0
RNAi,3,5L,17,1
RNAi,3,5R,18,0
RNAi,4,3L,19,6
RNAi,4,3R,20,6
RNAi,4,4L,21,3
RNAi,4,4R,22,6
RNAi,4,5L,23,3
RNAi,4,5R,24,4
RNAi,5,3L,25,3
RNAi,5,3R,26,7
RNAi,5,4L,27,1
RNAi,5,4R,28,7
RNAi,5,5L,29,4
RNAi,5,5R,30,3
