Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,2
Control,1,3R,2,3
Control,1,4L,3,4
Control,1,4R,4,12
Control,1,5L,5,10
Control,1,5R,6,6
Control,2,3L,7,3
Control,2,3R,8,13
Control,2,4L,9,4
Control,2,4R,10,12
Control,2,5L,11,18
Control,2,5R,12,14
Control,3,3L,13,5
Control,3,3R,14,5
Control,3,4L,15,4
Control,3,4R,16,11
Control,3,5L,17,8
Control,3,5R,18,1
Control,4,3L,19,9
Control,4,3R,20,15
Control,4,4L,21,8
Control,4,4R,22,14
Control,4,5L,23,3
Control,5,3L,25,7
Control,5,3R,26,5
Control,5,4L,27,11
Control,5,4R,28,7
Control,5,5L,29,17
Control,5,5R,30,12
RNAi,1,3L,1,3
RNAi,1,3R,2,5
RNAi,1,4L,3,5
RNAi,1,4R,4,2
RNAi,1,5L,5,3
RNAi,1,5R,6,6
RNAi,2,3L,7,5
RNAi,2,3R,8,1
RNAi,2,4L,9,18
RNAi,2,4R,10,9
RNAi,2,5L,11,12
RNAi,2,5R,12,4
RNAi,3,3L,13,1
RNAi,3,3R,14,1
RNAi,3,4L,15,0
RNAi,3,4R,16,0
RNAi,3,5L,17,0
RNAi,3,5R,18,0
RNAi,4,3L,19,0
RNAi,4,3R,20,8
RNAi,4,4L,21,2
RNAi,4,4R,22,6
RNAi,4,5L,23,8
RNAi,4,5R,24,3
