Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,0
Control,1,3R,2,2
Control,1,4L,3,0
Control,1,4R,4,4
Control,1,5L,5,3
Control,1,5R,6,2
Control,2,3L,7,4
Control,2,3R,8,13
Control,2,4L,9,6
Control,2,4R,10,18
Control,2,5L,11,2
Control,2,5R,12,9
Control,3,3L,13,1
Control,3,3R,14,8
Control,3,4L,15,1
Control,3,4R,16,2
Control,3,5L,17,4
Control,3,5R,18,0
Control,4,3L,19,5
Control,4,3R,20,18
Control,4,4L,21,0
Control,4,4R,22,5
Control,4,5L,23,8
Control,4,5R,24,5
Control,5,3L,25,7
Control,5,3R,26,13
Control,5,4L,27,13
Control,5,4R,28,11
Control,5,5L,29,3
Control,5,5R,30,10
RNAi,1,3L,1,3
RNAi,1,3R,2,8
RNAi,1,4L,3,15
RNAi,1,4R,4,12
RNAi,1,5L,5,3
RNAi,1,5R,6,6
RNAi,2,3L,7,1
RNAi,2,3R,8,2
RNAi,2,4L,9,2
RNAi,2,4R,10,0
RNAi,2,5L,11,4
RNAi,2,5R,12,14
RNAi,3,3L,13,2
RNAi,3,3R,14,6
RNAi,3,4L,15,3
RNAi,3,4R,16,0
RNAi,3,5L,17,5
RNAi,4,3L,19,10
RNAi,4,3R,20,2
RNAi,4,4L,21,2
RNAi,4,4R,22,7
RNAi,4,5L,23,0
RNAi,4,5R,24,5
RNAi,5,3L,25,0
RNAi,5,4L,27,3
RNAi,5,4R,28,0
RNAi,5,5L,29,4
RNAi,5,5R,30,1
