Set,Larva,Segment,NMJ,Boutons,Replicate
Control,1,3L,1,7,1
Control,1,3R,2,30,1
Control,1,4L,3,24,1
Control,1,4R,4,28,1
Control,1,5L,5,17,1
Control,1,5R,6,18,1
Control,2,3L,7,7,1
Control,2,3R,8,20,1
Control,2,4L,9,6,1
Control,2,4R,10,25,1
Control,2,5L,11,15,1
Control,2,5R,12,17,1
Control,3,3L,13,13,1
Control,3,3R,14,8,1
Control,3,4L,15,19,1
Control,3,4R,16,23,1
Control,3,5L,17,14,1
Control,3,5R,18,7,1
Control,4,3L,19,3,1
Control,4,3R,20,12,1
Control,4,4L,21,26,1
Control,4,4R,22,32,1
Control,4,5L,23,8,1
Control,4,5R,24,23,1
Control,5,3L,25,12,1
Control,5,3R,26,3,1
Control,5,4L,27,7,1
Control,5,4R,28,13,1
Control,5,5L,29,24,1
Control,5,5R,30,10,1
sdk,1,3L,1,5,1
sdk,1,4L,2,3,1
sdk,1,4R,3,0,1
sdk,1,5L,4,3,1
sdk,2,3L,5,0,1
sdk,2,4L,6,0,1
sdk,2,5L,7,3,1
sdk,2,5R,8,1,1
sdk,3,3L,9,28,1
sdk,3,3R,10,9,1
sdk,3,4L,11,22,1
sdk,3,4R,12,14,1
sdk,3,5L,13,13,1
sdk,3,5R,14,20,1
sdk,4,3L,15,7,1
sdk,4,3R,16,8,1
sdk,4,4L,17,5,1
sdk,4,4R,18,4,1
sdk,4,5L,19,4,1
sdk,4,5R,20,1,1
sdk,5,3L,21,11,1
sdk,5,3R,22,31,1
sdk,5,4L,23,12,1
sdk,5,4R,24,22,1
sdk,5,5L,25,15,1
sdk,5,5R,26,30,1
CG42342,1,3L,1,3,1
CG42342,1,3R,2,2,1
CG42342,1,4L,3,2,1
CG42342,1,4R,4,4,1
CG42342,1,5R,5,3,1
CG42342,2,3L,6,4,1
CG42342,2,3R,7,6,1
CG42342,2,4R,8,7,1
CG42342,2,5L,9,14,1
CG42342,3,3L,10,9,1
CG42342,3,3R,11,4,1
CG42342,3,4L,12,6,1
CG42342,3,4R,13,2,1
CG42342,3,5L,14,0,1
CG42342,3,5R,15,10,1
CG42342,4,3L,16,6,1
CG42342,4,3R,17,13,1
CG42342,4,4L,18,2,1
CG42342,4,4R,19,3,1
CG42342,4,5L,20,8,1
CG42342,4,5R,21,17,1
Control,1,3L,1,6,2
Control,1,3R,2,4,2
Control,1,4L,3,11,2
Control,1,4R,4,10,2
Control,1,5L,5,17,2
Control,1,5R,6,15,2
Control,2,3L,7,17,2
Control,2,3R,8,6,2
Control,2,4L,9,6,2
Control,2,4R,10,9,2
Control,2,5L,11,20,2
Control,2,5R,12,4,2
Control,3,3L,13,10,2
Control,3,3R,14,6,2
Control,3,4L,15,37,2
Control,3,4R,16,19,2
Control,3,5L,17,14,2
Control,3,5R,18,26,2
Control,4,3L,19,6,2
Control,4,3R,20,17,2
Control,4,4L,21,9,2
