Label,sum_Area,condition,channel
MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C1.tif,322.351,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,978.395,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C1.tif,340.121,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,927.2139999999999,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C1.tif,139.332,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,536.3,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C1.tif,136.24800000000002,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C3.tif,541.548,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C1.tif,129.149,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C3.tif,380.191,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S4R_C1.tif,166.545,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S4R_C3.tif,491.773,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C1.tif,68.601,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C3.tif,212.18,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C1.tif,181.181,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,611.303,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C1.tif,189.643,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,666.058,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C1.tif,227.89600000000002,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,482.58299999999997,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C1.tif,141.681,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C3.tif,464.158,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S4L_C1.tif,52.369,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S4L_C3.tif,353.73,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S4R_C1.tif,65.492,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S4R_C3.tif,429.589,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S5R_C1.tif,39.449,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L2_S5R_C3.tif,374.20799999999997,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C1.tif,326.812,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,730.017,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C1.tif,94.822,Repo Control,Glial projection area
MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C3.tif,401.054,Repo Control,Motor neuron axon projection area
MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C1.tif,48.579,Repo Control,Glial projection area
