Label,sum_Area,condition,channel
20220909_Nrv2_GFP_CTRL_L1_S2L_C1.tif,5.64,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,690.8380000000001,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L1_S2R_C1.tif,76.498,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,929.809,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L1_S3L_C1.tif,3.473,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L1_S3L_C3.tif,352.01,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L2_S2L_C1.tif,0,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,414.084,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L2_S3L_C1.tif,0,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,409.935,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L3_S2L_C1.tif,80.938,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,443.207,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L3_S2R_C1.tif,6.747,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,356.02000000000004,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L3_S3R_C1.tif,0,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L3_S3R_C3.tif,409.799,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L4_S2L_C1.tif,4.952,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L4_S2L_C3.tif,595.429,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L4_S2R_C1.tif,8.729,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,849.1790000000001,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L5_S2L_C1.tif,184.007,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,895.806,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L5_S3L_C1.tif,0,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L5_S3L_C3.tif,376.70500000000004,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L5_S4L_C1.tif,0,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L5_S4L_C3.tif,406.57300000000004,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L6_S3R_C1.tif,2.666,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L6_S3R_C3.tif,166.879,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L7_S2R_C1.tif,7.026,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L7_S2R_C3.tif,514.973,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L7_S3R_C1.tif,8.078,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L7_S3R_C3.tif,427.646,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_CTRL_L7_S4R_C1.tif,3.688,Nrv2 Control,Glial projection area
20220909_Nrv2_GFP_CTRL_L7_S4R_C3.tif,268.748,Nrv2 Control,Motor neuron axon projection area
20220909_Nrv2_GFP_GD_L1_S3L_C1.tif,2.919,Nrv2>Lac RNAi,Glial projection area
20220909_Nrv2_GFP_GD_L1_S3L_C3.tif,189.804,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L1_S3R_C1.tif,16.997,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L1_S3R_C3.tif,508.652,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L1_S4L_C1.tif,16.807,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L1_S4L_C3.tif,153.806,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L1_S5L_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L1_S5L_C3.tif,172.836,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L2_S2L_C1.tif,9.73,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L2_S2L_C3.tif,320.846,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L2_S3L_C1.tif,24.433,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L2_S3L_C3.tif,288.145,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L2_S5L_C1.tif,8.264,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L2_S5L_C3.tif,279.488,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L2_S5R_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L2_S5R_C3.tif,176.157,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L3_S2L_C1.tif,12.806,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L3_S2L_C3.tif,315.823,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L3_S3R_C1.tif,12.231,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L3_S3R_C3.tif,250.065,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L3_S5L_C1.tif,2.214,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L3_S5L_C3.tif,194.528,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L3_S5R_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L3_S5R_C3.tif,238.928,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L4_S2R_C1.tif,5.163,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L4_S2R_C3.tif,330.048,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L4_S3R_C1.tif,17.775,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L4_S3R_C3.tif,349.28499999999997,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L4_S4R_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L4_S4R_C3.tif,201.748,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L5_S2L_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L5_S2L_C3.tif,370.988,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L5_S2R_C1.tif,0,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L5_S2R_C3.tif,200.181,Nrv2>Lac RNAi,Motor neuron axon projection area
20221026_Nrv2_GFP_GD_L5_S3R_C1.tif,4.086,Nrv2>Lac RNAi,Glial projection area
20221026_Nrv2_GFP_GD_L5_S3R_C3.tif,321.201,Nrv2>Lac RNAi,Motor neuron axon projection area
