...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,12.996,254.917,0,255,3312.928,784125
2,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S3L_C1.tif,56.07,252.002,0,255,14129.774,3344325
3,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S3L_C3.tif,276.835,254.716,0,255,70514.197,16689750
4,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S3R_C1.tif,30.728,253.668,0,255,7794.809,1844925
5,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S3R_C3.tif,210.312,254.457,0,255,53515.374,12666360
6,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S4L_C1.tif,34.979,255,255,255,8919.588,2111145
7,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S4L_C3.tif,190.459,254.757,0,255,48520.663,11484180
8,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S4R_C1.tif,18.679,251.828,0,255,4703.819,1113330
9,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S4R_C3.tif,169.161,251.503,0,255,42544.464,10069695
10,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S5L_C1.tif,4.47,255,255,255,1139.863,269790
11,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S5L_C3.tif,94.167,254.508,0,255,23966.208,5672475
12,MAX_20221219_46F_Gal4_cd8_GFP_GD_L1_S5L_C3.tif,39.529,254.155,0,255,10046.522,2377875
13,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,20.073,253.98,0,255,5098.139,1206660
14,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,47.835,252.973,0,255,12101.077,2864160
15,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,2.417,253.663,0,255,613.026,145095
16,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,3.186,255,255,255,812.341,192270
17,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,8.856,251.229,0,255,2224.779,526575
18,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,64.803,245.756,0,255,15925.758,3769410
19,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,2.607,255,255,255,664.74,157335
20,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,3.072,254.649,0,255,782.174,185130
21,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C1.tif,13.402,250.9,0,255,3362.488,795855
22,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C3.tif,10.529,255,255,255,2684.819,635460
23,MAX_20221219_46F_Gal4_cd8_GFP_GD_L2_S2L_C3.tif,552.782,248.067,0,255,137127.219,32456145
