...1,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C1.tif,322.351,247.216,0,255,79690.201,18861585
2,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,945.356,240.329,0,255,227196.851,53774400
3,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,6.236,255,255,255,1590.206,376380
4,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,2.581,255,255,255,658.276,155805
5,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,3.46,255,255,255,882.37,208845
6,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,3.207,255,255,255,817.728,193545
7,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,3.984,255,255,255,1015.965,240465
8,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,8.97,255,255,255,2287.267,541365
9,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,2.581,255,255,255,658.276,155805
10,MAX_20220629_29062022_Repo_GFP_control_L1_S2L_C3.tif,2.02,254.467,0,255,513.908,121635
11,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C1.tif,338.072,254.299,0,255,85971.297,20348235
12,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C1.tif,2.049,255,255,255,522.527,123675
13,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,833.631,218.725,0,255,182336.031,43156455
14,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,3.849,255,255,255,981.489,232305
15,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,3.98,255,255,255,1014.887,240210
16,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,12.489,250.773,0,255,3131.929,741285
17,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,41.312,254.948,0,255,10532.419,2492880
18,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,28.586,254.698,0,255,7280.901,1723290
19,MAX_20220629_29062022_Repo_GFP_control_L1_S2R_C3.tif,3.367,250.841,0,255,844.662,199920
20,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C1.tif,139.332,254.343,0,255,35438.098,8387715
21,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,489.086,249.625,0,255,122088.141,28896600
22,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,2.117,255,255,255,539.765,127755
23,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,5.577,255,255,255,1422.135,336600
24,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,12.523,255,255,255,3193.34,755820
25,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,5.75,255,255,255,1466.307,347055
26,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,17.508,255,255,255,4464.642,1056720
27,MAX_20220629_29062022_Repo_GFP_control_L1_S3L_C3.tif,3.739,255,255,255,953.477,225675
28,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C1.tif,54.591,254.921,0,255,13916.454,3293835
29,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C1.tif,2.007,255,255,255,511.753,121125
30,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C1.tif,79.65,254.567,0,255,20276.199,4799100
31,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C3.tif,197.058,252.332,0,255,49724.091,11769015
32,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C3.tif,337.704,253.644,0,255,85656.704,20273775
33,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C3.tif,3.862,255,255,255,984.721,233070
34,MAX_20220629_29062022_Repo_GFP_control_L1_S3R_C3.tif,2.924,255,255,255,745.544,176460
35,MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C1.tif,25.544,255,255,255,6513.81,1541730
36,MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C1.tif,103.605,255,255,255,26419.391,6253110
37,MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C3.tif,370.816,252.095,0,255,93480.601,22125585
38,MAX_20220629_29062022_Repo_GFP_control_L1_S4L_C3.tif,9.375,255,255,255,2390.695,565845
39,MAX_20220629_29062022_Repo_GFP_control_L1_S4R_C1.tif,166.545,252.898,0,255,42118.9,9968970
40,MAX_20220629_29062022_Repo_GFP_control_L1_S4R_C3.tif,483.564,239.836,0,255,115976.192,27449985
41,MAX_20220629_29062022_Repo_GFP_control_L1_S4R_C3.tif,8.209,255,255,255,2093.34,495465
42,MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C1.tif,22.701,253.291,0,255,5749.951,1360935
43,MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C1.tif,45.9,255,255,255,11704.603,2770320
44,MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C3.tif,3.017,255,255,255,769.246,182070
45,MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C3.tif,65.99,255,255,255,16827.521,3982845
46,MAX_20220629_29062022_Repo_GFP_control_L1_S5R_C3.tif,143.173,254.616,0,255,36454.062,8628180
47,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C1.tif,181.181,254.988,0,255,46198.92,10934655
48,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,2.472,255,255,255,630.264,149175
49,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,2.142,255,255,255,546.229,129285
50,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,2.974,255,255,255,758.472,179520
51,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,2.527,255,255,255,644.27,152490
52,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,2.569,255,255,255,655.044,155040
53,MAX_20220629_29062022_Repo_GFP_control_L2_S2L_C3.tif,598.619,253.395,0,255,151686.866,35902215
54,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C1.tif,187.573,254.902,0,255,47812.828,11316645
55,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C1.tif,2.07,253.439,0,255,524.682,124185
56,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,624.079,245.595,0,255,153270.607,36277065
57,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,2.222,255,255,255,566.699,134130
58,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,3.836,255,255,255,978.257,231540
59,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,4.821,255,255,255,1229.285,290955
60,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,26.567,254.838,0,255,6770.225,1602420
61,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,2.205,255,255,255,562.39,133110
62,MAX_20220629_29062022_Repo_GFP_control_L2_S2R_C3.tif,2.328,255,255,255,593.634,140505
63,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C1.tif,104.374,254.969,0,255,26612.241,6298755
64,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C1.tif,123.522,255,255,255,31498.137,7455180
65,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,3.617,255,255,255,922.233,218280
66,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,172.477,253.145,0,255,43661.701,10334130
67,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,3.781,255,255,255,964.251,228225
68,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,294.647,249.662,0,255,73562.091,17411145
69,MAX_20220629_29062022_Repo_GFP_control_L2_S3L_C3.tif,8.061,253.664,0,255,2044.858,483990
70,MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C1.tif,141.681,253.646,0,255,35936.922,8505780
71,MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C3.tif,22.574,254.952,0,255,5755.338,1362210
72,MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C3.tif,437.769,251.116,0,255,109931.041,26019180
73,MAX_20220629_29062022_Repo_GFP_control_L2_S3R_C3.tif,3.815,254.718,0,255,971.792,230010
74,MAX_20220629_29062022_Repo_GFP_control_L2_S4L_C1.tif,52.369,255,255,255,13354.064,3160725
75,MAX_20220629_29062022_Repo_GFP_control_L2_S4L_C3.tif,353.73,251.086,0,255,88816.645,21021690
76,MAX_20220629_29062022_Repo_GFP_control_L2_S4R_C1.tif,65.492,255,255,255,16700.391,3952755
77,MAX_20220629_29062022_Repo_GFP_control_L2_S4R_C3.tif,6.257,255,255,255,1595.592,377655
78,MAX_20220629_29062022_Repo_GFP_control_L2_S4R_C3.tif,423.332,244.51,0,255,103508.808,24499125
79,MAX_20220629_29062022_Repo_GFP_control_L2_S5R_C1.tif,39.449,254.918,0,255,10056.219,2380170
80,MAX_20220629_29062022_Repo_GFP_control_L2_S5R_C3.tif,369.928,253.966,0,255,93949.259,22236510
81,MAX_20220629_29062022_Repo_GFP_control_L2_S5R_C3.tif,4.28,254.748,0,255,1090.304,258060
82,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C1.tif,27.982,252.613,0,255,7068.658,1673055
83,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C1.tif,292.07,254.177,0,255,74237.605,17571030
84,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C1.tif,6.76,250.219,0,255,1691.479,400350
85,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,701.532,228.551,0,255,160336.033,37949355
86,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,3.329,255,255,255,848.972,200940
87,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,2.421,255,255,255,617.336,146115
88,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,3.469,255,255,255,884.525,209355
89,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,5.159,249.57,0,255,1287.463,304725
90,MAX_20220629_29062022_Repo_GFP_control_L3_S2L_C3.tif,14.107,255,255,255,3597.355,851445
91,MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C1.tif,94.822,254.989,0,255,24178.451,5722710
92,MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C3.tif,389.051,236.953,0,255,92186.674,21819330
93,MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C3.tif,2.615,255,255,255,666.895,157845
94,MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C3.tif,2.527,255,255,255,644.27,152490
95,MAX_20220629_29062022_Repo_GFP_control_L3_S3L_C3.tif,6.861,255,255,255,1749.657,414120
96,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C1.tif,48.579,255,255,255,12387.658,2931990
97,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,8.028,255,255,255,2047.013,484500
98,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,18.451,255,255,255,4704.897,1113585
99,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,2.949,255,255,255,752.008,177990
100,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,2.451,255,255,255,624.878,147900
101,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,2.311,255,255,255,589.324,139485
102,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,299.126,252.731,0,255,75598.33,17893095
103,MAX_20220629_29062022_Repo_GFP_control_L3_S3R_C3.tif,9.794,255,255,255,2497.355,591090
