 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,20220909_Nrv2_GFP_CTRL_L1_S2L_C1.tif,5.640,255.000,255,255,1438.296,340425
2,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,3.524,255.000,255,255,898.531,212670
3,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,5.847,255.000,255,255,1491.087,352920
4,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,653.595,229.671,0,255,150111.744,35529405
5,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,2.379,255.000,255,255,606.562,143565
6,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,3.105,255.000,255,255,791.871,187425
7,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,3.029,255.000,255,255,772.478,182835
8,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,7.128,253.337,0,255,1805.681,427380
9,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,7.571,255.000,255,255,1930.656,456960
10,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,2.590,255.000,255,255,660.431,156315
11,20220909_Nrv2_GFP_CTRL_L1_S2L_C3.tif,2.070,255.000,255,255,527.914,124950
12,20220909_Nrv2_GFP_CTRL_L1_S2R_C1.tif,76.498,254.972,0,255,19504.798,4616520
13,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,868.521,238.657,0,255,207278.341,49059960
14,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,6.181,255.000,255,255,1576.200,373065
15,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,6.794,255.000,255,255,1732.419,410040
16,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,2.991,255.000,255,255,762.782,180540
17,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,3.900,255.000,255,255,994.417,235365
18,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,2.729,253.816,0,255,692.752,163965
19,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,31.747,254.966,0,255,8094.319,1915815
20,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,2.442,255.000,255,255,622.723,147390
21,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,2.358,254.543,0,255,600.098,142035
22,20220909_Nrv2_GFP_CTRL_L1_S2R_C3.tif,2.146,255.000,255,255,547.307,129540
23,20220909_Nrv2_GFP_CTRL_L1_S3L_C1.tif,3.473,254.690,0,255,884.525,209355
24,20220909_Nrv2_GFP_CTRL_L1_S3L_C3.tif,336.128,248.391,0,255,83491.180,19761225
25,20220909_Nrv2_GFP_CTRL_L1_S3L_C3.tif,15.882,251.201,0,255,3989.520,944265
26,20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,6.422,255.000,255,255,1637.610,387600
27,20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,14.910,255.000,255,255,3802.057,899895
28,20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,368.610,231.051,0,255,85167.575,20158005
29,20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,19.156,244.876,0,255,4690.891,1110270
30,20220909_Nrv2_GFP_CTRL_L2_S2L_C3.tif,4.986,255.000,255,255,1271.303,300900
31,20220909_Nrv2_GFP_CTRL_L2_S3L_C1.tif,3140.417,254.935,0,255,800601.712,189491520
32,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,165.375,254.010,0,255,42006.853,9942450
33,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,18.015,255.000,255,255,4593.927,1087320
34,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,10.381,255.000,255,255,2647.111,626535
35,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,14.281,254.774,0,255,3638.296,861135
36,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,176.073,254.198,0,255,44757.392,10593465
37,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,8.982,255.000,255,255,2290.499,542130
38,20220909_Nrv2_GFP_CTRL_L2_S3L_C3.tif,16.828,255.000,255,255,4291.185,1015665
39,20220909_Nrv2_GFP_CTRL_L3_S2L_C1.tif,80.938,254.933,0,255,20633.887,4883760
40,20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,409.373,246.428,0,255,100881.091,23877180
41,20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,3.655,255.000,255,255,931.929,220575
42,20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,5.197,255.000,255,255,1325.171,313650
43,20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,4.525,253.810,0,255,1148.482,271830
44,20220909_Nrv2_GFP_CTRL_L3_S2L_C3.tif,20.457,254.789,0,255,5212.341,1233690
45,20220909_Nrv2_GFP_CTRL_L3_S2R_C1.tif,6.747,254.840,0,255,1719.491,406980
46,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,12.350,238.163,0,255,2941.234,696150
47,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,13.693,255.000,255,255,3491.773,826455
48,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,2.708,255.000,255,255,690.597,163455
49,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,290.110,241.738,0,255,70130.652,16598970
50,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,2.235,255.000,255,255,569.931,134895
51,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,10.622,255.000,255,255,2708.521,641070
52,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,21.184,255.000,255,255,5401.959,1278570
53,20220909_Nrv2_GFP_CTRL_L3_S2R_C3.tif,3.118,255.000,255,255,795.103,188190
54,20220909_Nrv2_GFP_CTRL_L3_S3R_C3.tif,396.102,249.916,0,255,98992.452,23430165
55,20220909_Nrv2_GFP_CTRL_L3_S3R_C3.tif,13.697,255.000,255,255,3492.850,826710
56,20220909_Nrv2_GFP_CTRL_L4_S2L_C1.tif,4.952,255.000,255,255,1262.684,298860
57,20220909_Nrv2_GFP_CTRL_L4_S2L_C3.tif,595.429,253.229,0,255,150779.716,35687505
58,20220909_Nrv2_GFP_CTRL_L4_S2R_C1.tif,8.729,255.000,255,255,2225.857,526830
59,20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,13.102,255.000,255,255,3340.940,790755
60,20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,822.426,245.837,0,255,202182.357,47853810
61,20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,2.125,255.000,255,255,541.920,128265
62,20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,7.529,255.000,255,255,1919.882,454410
63,20220909_Nrv2_GFP_CTRL_L4_S2R_C3.tif,3.997,255.000,255,255,1019.197,241230
64,20220909_Nrv2_GFP_CTRL_L5_S2L_C1.tif,184.007,254.953,0,255,46913.219,11103720
65,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,19.828,252.012,0,255,4996.865,1182690
66,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,848.883,239.340,0,255,203171.388,48087900
67,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,6.181,255.000,255,255,1576.200,373065
68,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,13.626,235.628,0,255,3210.578,759900
69,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,4.318,255.000,255,255,1101.077,260610
70,20220909_Nrv2_GFP_CTRL_L5_S2L_C3.tif,2.970,255.000,255,255,757.395,179265
71,20220909_Nrv2_GFP_CTRL_L5_S3L_C3.tif,155.839,254.281,0,255,39626.932,9379155
72,20220909_Nrv2_GFP_CTRL_L5_S3L_C3.tif,220.866,254.820,0,255,56280.995,13320945
73,20220909_Nrv2_GFP_CTRL_L5_S4L_C1.tif,2255.449,254.187,0,255,573304.665,135693405
74,20220909_Nrv2_GFP_CTRL_L5_S4L_C3.tif,18.075,255.000,255,255,4609.010,1090890
75,20220909_Nrv2_GFP_CTRL_L5_S4L_C3.tif,2.493,255.000,255,255,635.651,150450
76,20220909_Nrv2_GFP_CTRL_L5_S4L_C3.tif,63.726,254.713,0,255,16231.733,3841830
