 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,834.146,241.040,0,255,201062.965,47588865
2,MaxProject,3.346,255.000,255,255,853.281,201960
3,MaxProject,3.600,255.000,255,255,917.924,217260
4,MaxProject,18.353,255.000,255,255,4680.117,1107720
5,MaxProject,2.074,255.000,255,255,528.991,125205
6,MaxProject,2.307,255.000,255,255,588.247,139230
7,MaxProject,2.493,255.000,255,255,635.651,150450
8,MaxProject,3.329,254.676,0,255,847.894,200685
9,MaxProject,3.236,254.667,0,255,824.192,195075
10,MaxProject,4.195,255.000,255,255,1069.833,253215
11,MaxProject,28.033,255.000,255,255,7148.383,1691925
12,MaxProject,3.105,255.000,255,255,791.871,187425
13,MaxProject,8.412,255.000,255,255,2145.054,507705
14,MaxProject,5.501,255.000,255,255,1402.742,332010
15,MaxProject,6.122,255.000,255,255,1561.116,369495
16,MaxProject,3.380,253.088,0,255,855.436,202470
