 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,7.605,255.000,255,255,1939.275,459000
2,MaxProject,16.735,253.584,0,255,4243.780,1004445
3,MaxProject,413.235,254.314,0,255,105091.472,24873720
4,MaxProject,2.784,255.000,255,255,709.990,168045
5,MaxProject,2.412,255.000,255,255,615.181,145605
6,MaxProject,3.143,255.000,255,255,801.567,189720
7,MaxProject,3.967,255.000,255,255,1011.655,239445
8,MaxProject,2.818,255.000,255,255,718.609,170085
9,MaxProject,49.500,254.804,0,255,12612.830,2985285
10,MaxProject,5.602,255.000,255,255,1428.599,338130
