 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,0.008,255.000,255,255,2.155,510
2,MaxProject,0.004,255.000,255,255,1.077,255
3,MaxProject,0.008,255.000,255,255,2.155,510
4,MaxProject,0.017,255.000,255,255,4.310,1020
5,MaxProject,0.008,255.000,255,255,2.155,510
6,MaxProject,0.004,255.000,255,255,1.077,255
7,MaxProject,0.004,255.000,255,255,1.077,255
8,MaxProject,0.004,255.000,255,255,1.077,255
9,MaxProject,0.017,255.000,255,255,4.310,1020
10,MaxProject,0.004,255.000,255,255,1.077,255
11,MaxProject,0.004,255.000,255,255,1.077,255
12,MaxProject,0.030,255.000,255,255,7.542,1785
13,MaxProject,0.008,255.000,255,255,2.155,510
14,MaxProject,0.017,255.000,255,255,4.310,1020
15,MaxProject,0.004,255.000,255,255,1.077,255
16,MaxProject,0.038,255.000,255,255,9.696,2295
17,MaxProject,0.008,255.000,255,255,2.155,510
18,MaxProject,0.034,255.000,255,255,8.619,2040
19,MaxProject,69.827,254.475,0,255,17769.147,4205715
20,MaxProject,1.090,255.000,255,255,277.963,65790
21,MaxProject,0.131,255.000,255,255,33.399,7905
22,MaxProject,0.275,255.000,255,255,70.029,16575
23,MaxProject,1.073,255.000,255,255,273.653,64770
24,MaxProject,0.254,255.000,255,255,64.643,15300
25,MaxProject,0.004,255.000,255,255,1.077,255
26,MaxProject,0.008,255.000,255,255,2.155,510
27,MaxProject,0.004,255.000,255,255,1.077,255
28,MaxProject,0.004,255.000,255,255,1.077,255
29,MaxProject,0.004,255.000,255,255,1.077,255
30,MaxProject,0.008,255.000,255,255,2.155,510
