 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,12.345,255.000,255,255,3148.090,745110
2,MaxProject,0.004,255.000,255,255,1.077,255
3,MaxProject,0.008,255.000,255,255,2.155,510
4,MaxProject,0.004,255.000,255,255,1.077,255
5,MaxProject,0.300,251.408,0,255,75.416,17850
6,MaxProject,0.008,255.000,255,255,2.155,510
7,MaxProject,0.008,255.000,255,255,2.155,510
8,MaxProject,0.008,255.000,255,255,2.155,510
9,MaxProject,0.004,255.000,255,255,1.077,255
10,MaxProject,0.004,255.000,255,255,1.077,255
11,MaxProject,0.004,255.000,255,255,1.077,255
12,MaxProject,0.004,255.000,255,255,1.077,255
13,MaxProject,0.004,255.000,255,255,1.077,255
14,MaxProject,0.004,255.000,255,255,1.077,255
15,MaxProject,0.004,255.000,255,255,1.077,255
16,MaxProject,0.008,255.000,255,255,2.155,510
17,MaxProject,0.004,255.000,255,255,1.077,255
18,MaxProject,0.004,255.000,255,255,1.077,255
19,MaxProject,0.017,255.000,255,255,4.310,1020
20,MaxProject,0.004,255.000,255,255,1.077,255
21,MaxProject,0.008,255.000,255,255,2.155,510
22,MaxProject,0.030,255.000,255,255,7.542,1785
23,MaxProject,0.021,255.000,255,255,5.387,1275
24,MaxProject,0.004,255.000,255,255,1.077,255
25,MaxProject,0.021,255.000,255,255,5.387,1275
26,MaxProject,0.013,255.000,255,255,3.232,765
27,MaxProject,0.013,255.000,255,255,3.232,765
28,MaxProject,0.008,255.000,255,255,2.155,510
29,MaxProject,0.004,255.000,255,255,1.077,255
30,MaxProject,0.021,255.000,255,255,5.387,1275
31,MaxProject,0.021,255.000,255,255,5.387,1275
32,MaxProject,0.008,255.000,255,255,2.155,510
33,MaxProject,0.004,255.000,255,255,1.077,255
34,MaxProject,0.004,255.000,255,255,1.077,255
35,MaxProject,0.004,255.000,255,255,1.077,255
36,MaxProject,0.008,255.000,255,255,2.155,510
37,MaxProject,0.004,255.000,255,255,1.077,255
38,MaxProject,0.008,255.000,255,255,2.155,510
39,MaxProject,0.008,255.000,255,255,2.155,510
40,MaxProject,0.013,255.000,255,255,3.232,765
41,MaxProject,0.004,255.000,255,255,1.077,255
42,MaxProject,0.008,255.000,255,255,2.155,510
43,MaxProject,0.013,255.000,255,255,3.232,765
44,MaxProject,0.004,255.000,255,255,1.077,255
45,MaxProject,0.008,255.000,255,255,2.155,510
46,MaxProject,0.013,255.000,255,255,3.232,765
47,MaxProject,0.008,255.000,255,255,2.155,510
