 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,MaxProject,0.004,255.000,255,255,1.077,255
2,MaxProject,0.004,255.000,255,255,1.077,255
3,MaxProject,0.004,255.000,255,255,1.077,255
4,MaxProject,0.013,255.000,255,255,3.232,765
5,MaxProject,0.004,255.000,255,255,1.077,255
6,MaxProject,0.017,255.000,255,255,4.310,1020
7,MaxProject,0.004,255.000,255,255,1.077,255
8,MaxProject,0.008,255.000,255,255,2.155,510
9,MaxProject,0.025,255.000,255,255,6.464,1530
10,MaxProject,0.004,255.000,255,255,1.077,255
11,MaxProject,9.705,255.000,255,255,2474.730,585735
12,MaxProject,30.809,248.321,0,255,7650.440,1810755
13,MaxProject,0.025,255.000,255,255,6.464,1530
14,MaxProject,2.218,255.000,255,255,565.622,133875
15,MaxProject,0.123,255.000,255,255,31.244,7395
