Filename,Common Coordinates
ROI_20220818_unstim_open_L4_S2L.tif,17
ROI_20220818_unstim_open_L4_S2R.tif,22
ROI_20220818_unstim_open_L4_S3R.tif,10
ROI_20220818_unstim_open_L4_S4L.tif,11
ROI_20220818_unstim_open_L4_S4R.tif,11
ROI_20220818_unstim_open_L4_S5L.tif,3
ROI_20220818_unstim_open_L4_S5R.tif,0
ROI_20220819_unstim_mock_L1_S2L.tif,29
ROI_20220819_unstim_mock_L1_S3L.tif,21
ROI_20220819_unstim_mock_L1_S3R.tif,1
ROI_20220819_unstim_mock_L1_S4L.tif,15
ROI_20220819_unstim_mock_L1_S5L.tif,11
ROI_20220819_unstim_mock_L1_S5R.tif,2
ROI_20220819_unstim_mock_L2_S2L.tif,12
ROI_20220819_unstim_mock_L2_S3L.tif,15
ROI_20220819_unstim_mock_L2_S4L.tif,21
ROI_20220819_unstim_mock_L2_S4R.tif,57
ROI_20220819_unstim_mock_L2_S5R.tif,1
ROI_20220819_unstim_mock_L3_S3L.tif,6
ROI_20220819_unstim_open_L5_S2R.tif,34
ROI_20220819_unstim_open_L5_S3R.tif,11
ROI_20220819_unstim_open_L5_S4R.tif,9
ROI_20220819_unstim_open_L5_S5R.tif,8
ROI_20220819_unstim_open_L6_S3L.tif,15
ROI_20220819_unstim_open_L6_S3R.tif,13
ROI_20220819_unstim_open_L6_S4L.tif,8
ROI_20220819_unstim_open_L6_S5L.tif,3
ROI_20220822_stim_L1_S2R.tif,28
ROI_20220822_stim_L1_S3L.tif,18
ROI_20220822_stim_L1_S4R.tif,8
ROI_20220822_stim_L2_S2L.tif,8
ROI_20220822_stim_L2_S3R.tif,11
ROI_20220822_stim_L2_S4R.tif,7
ROI_20220822_stim_L2_S5R.tif,4
ROI_20220822_stim_L3_S2R.tif,24
ROI_20220822_stim_L3_S5R.tif,6
ROI_20220822_stim_L4_S3L.tif,19
ROI_20220822_stim_L4_S4L.tif,20
ROI_20220822_stim_L4_S4R.tif,2
ROI_20220822_stim_L4_S5L.tif,10
ROI_20220822_stim_L4_S5R.tif,0
ROI_20220822_stim_L5_S2R.tif,21
ROI_20220822_stim_L5_S3L.tif,13
ROI_20220822_stim_L5_S3R.tif,17
ROI_20220822_stim_L5_S4L.tif,8
ROI_20220822_stim_L5_S5L.tif,9
ROI_20220822_stim_L6_S2L.tif,27
ROI_20220822_stim_L6_S2R.tif,2
ROI_20220822_stim_L6_S3L.tif,11
ROI_20220822_stim_L6_S3R.tif,12
ROI_20220822_stim_L6_S4L.tif,4
ROI_20220822_stim_L6_S5L.tif,2
ROI_20220822_unstim_mock_L3_S3R.tif,5
ROI_20220822_unstim_mock_L3_S2R.tif,10
ROI_20220822_unstim_mock_L3_S4R.tif,1
ROI_20220822_unstim_mock_L3_S5R.tif,7
ROI_20220822_unstim_mock_L4_S2L.tif,22
ROI_20220822_unstim_mock_L4_S2R.tif,36
ROI_20220822_unstim_mock_L4_S3R.tif,9
ROI_20220822_unstim_mock_L4_S4R.tif,7
ROI_20220822_unstim_mock_L4_S5L.tif,15
ROI_20220822_unstim_mock_L4_S5R.tif,16
ROI_20220822_stim_L1_S2L.tif,23
ROI_20220818_unstim_open_L1_S2R.tif,13
ROI_20220818_unstim_open_L1_S3L.tif,14
ROI_20220818_unstim_open_L1_S3R.tif,79
ROI_20220818_unstim_open_L1_S4L.tif,5
ROI_20220818_unstim_open_L1_S4R.tif,12
ROI_20220818_unstim_open_L1_S5L.tif,6
ROI_20220818_unstim_open_L2_S2L.tif,14
ROI_20220818_unstim_open_L2_S2R.tif,23
ROI_20220818_unstim_open_L3_S2L.tif,26
ROI_20220818_unstim_open_L3_S2R.tif,20
ROI_20220818_unstim_open_L3_S3L.tif,12
ROI_20220818_unstim_open_L3_S3R.tif,38
ROI_20220818_unstim_open_L3_S4R.tif,6
ROI_20220819_unstim_open_L5_S5L.tif,7
ROI_20220819_unstim_open_L6_S2L.tif,38
