Filename,Common Coordinates
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S3R46.tif,2
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S3R60.tif,27
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S2L57.tif,23
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L2_S2R51.tif,29
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S5R62.tif,8
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L2_S2L54.tif,7
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S4L58.tif,19
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S2R45.tif,25
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S2R59.tif,20
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L3_S4R61.tif,7
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L2_S3R52.tif,18
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S4R47.tif,10
ROI_20220112_syp_mutant_e00286_405HRP_488_antiSyp_568_Syp_Exon_647_lac_exon_L1_S2R53.tif,17
ROI_20220112_syp_GFP_405HRP_488_sypGFP_568_Syp_Exon_647_lac_exon_L1_S2L44.tif,23
