 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,2.100,255.000,255,255,535.455,126735
2,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,4.897,255.000,255,255,1248.678,295545
3,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,8.640,211.856,0,255,1830.460,433245
4,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,5.531,255.000,255,255,1410.284,333795
5,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,203.159,208.184,0,255,42294.512,10010535
6,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,9.151,255.000,255,255,2333.594,552330
7,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,842.955,217.893,0,255,183674.131,43473165
8,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,2.374,255.000,255,255,605.485,143310
9,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,3.456,255.000,255,255,881.293,208590
10,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,5.353,255.000,255,255,1365.034,323085
11,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,5.349,255.000,255,255,1363.957,322830
12,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,10.148,255.000,255,255,2587.855,612510
13,20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,10.617,255.000,255,255,2707.444,640815
