Filename,Common Coordinates
ROI_20220812_nrxIV_lac_smFISH_L1_S2L_TIF_C1.tif,36
ROI_20220812_nrxIV_lac_smFISH_L1_S2L_TIF_C2.tif,52
ROI_20220809_nrxIV_lac_smFISH_L1_S3R_TIF_C2.tif,2
ROI_20220809_nrxIV_lac_smFISH_L1_S3R_TIF_C1.tif,2
ROI_20220809_nrxIV_lac_smFISH_L3_S3R_TIF_C1.tif,8
ROI_20220809_nrxIV_lac_smFISH_L3_S3R_TIF_C2.tif,18
ROI_20220809_nrxIV_lac_smFISH_L2_S4L_TIF_C1.tif,3
ROI_20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C1.tif,5
ROI_20220809_nrxIV_lac_smFISH_L2_S4L_TIF_C2.tif,9
ROI_20220809_nrxIV_lac_smFISH_L1_S2R_TIF_C2.tif,11
ROI_20220809_nrxIV_lac_smFISH_L1_S4R_TIF_C1.tif,0
ROI_20220809_nrxIV_lac_smFISH_L5_S2L_TIF_C2.tif,10
ROI_20220809_nrxIV_lac_smFISH_L1_S4R_TIF_C2.tif,3
ROI_20220809_nrxIV_lac_smFISH_L5_S2L_TIF_C1.tif,7
ROI_20220809_nrxIV_lac_smFISH_L4_S2L_TIF_C1.tif,16
ROI_20220809_nrxIV_lac_smFISH_L4_S2R_TIF_C1.tif,27
ROI_20220809_nrxIV_lac_smFISH_L4_S2L_TIF_C2.tif,33
ROI_20220809_nrxIV_lac_smFISH_L4_S2R_TIF_C2.tif,46
