Label,Area,Perim.,Angle,Length
MAX_Control_brain_0001.oir,287.747,462.495,-116.152,462.495
MAX_Control_brain_0002.oir,287.361,461.746,-69.516,461.746
MAX_Control_brain_0003.oir,258.393,415.151,-55.12,415.151
MAX_Control_brain_0004.oir,238.695,383.348,92.974,383.348
MAX_Control_brain_0005.oir,237.536,381.64,-89.067,381.64
MAX_cold_RNAi_KStim_brain_29921.oir,348.387,559.869,-135.27,559.869
MAX_cold_RNAi_KStim_brain_29922.oir,296.631,476.392,-125.764,476.392
MAX_cold_RNAi_KStim_brain_29923.oir,291.224,468.274,-151.632,468.274
MAX_cold_RNAi_KStim_brain_29924.oir,312.08,501.35,42.79,501.35
MAX_cold_RNAi_KStim_brain_29925.oir,283.113,454.961,-119.997,454.961
MAX_lac_brain_1.oir,328.689,528.258,-44.333,528.258
MAX_lac_brain_2.oir,298.562,479.983,-50.042,479.983
MAX_lac_brain_3.oir,297.017,476.988,-40.456,476.988
MAX_lac_brain_4.oir,320.191,514.751,-34.573,514.751
MAX_lac_brain_5.oir,326.371,524.708,135.096,524.708
MAX_Vha55_brain_0001.oir,193.119,310.273,-115.128,310.273
MAX_Vha55_brain_0002.oir,202.775,325.67,-95.036,325.67
MAX_Vha55_brain_0004.oir,188.098,302.132,-77.164,302.132
MAX_Vha55_brain_0003.oir,229.425,368.389,-87.099,368.389
MAX_Vha55_brain_0005.oir,206.637,331.892,-117.429,331.892
