".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"mean_speed_real_units","46F-GAL4 > Lac RNAi","46F-GAL4 Control",43,44,1.02627115889638,0.304763787902833,0.304763787902833,"ns"
"mean_speed_real_units","46F-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",43,42,-7.62332776551781,0.0000000000000247218088777264,0.000000000000123609044388632,"****"
"mean_speed_real_units","46F-GAL4 > Lac RNAi","Repo-GAL4 Control",43,44,-3.19116492273117,0.00141700369045534,0.00283400738091068,"**"
"mean_speed_real_units","46F-GAL4 Control","Repo-GAL4 > Lac RNAi",44,42,-8.68664391179761,0.00000000000000000373303950465192,0.0000000000000000223982370279115,"****"
"mean_speed_real_units","46F-GAL4 Control","Repo-GAL4 Control",44,44,-4.24188519126816,0.0000221650075837521,0.0000664950227512563,"****"
"mean_speed_real_units","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",42,44,4.49437311960572,0.00000697751915651758,0.0000279100766260703,"****"
"index_straightness","46F-GAL4 > Lac RNAi","46F-GAL4 Control",43,44,1.32356204174346,0.18564853861315,0.556945615839449,"ns"
"index_straightness","46F-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",43,42,-6.61642027254429,0.0000000000368001198378822,0.000000000147200479351529,"****"
"index_straightness","46F-GAL4 > Lac RNAi","Repo-GAL4 Control",43,44,0.477112251150877,0.633282191246501,0.789142377439373,"ns"
"index_straightness","46F-GAL4 Control","Repo-GAL4 > Lac RNAi",44,42,-7.96955155040651,0.0000000000000015925119064205,0.00000000000000955507143852298,"****"
"index_straightness","46F-GAL4 Control","Repo-GAL4 Control",44,44,-0.851356787008161,0.394571188719686,0.789142377439373,"ns"
"index_straightness","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",42,44,7.12815249527517,0.000000000001017250418399,0.00000000000508625209199502,"****"
"DC","46F-GAL4 > Lac RNAi","46F-GAL4 Control",43,44,-0.366729292993949,0.713820954018917,0.713820954018917,"ns"
"DC","46F-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",43,42,7.52324343350708,0.0000000000000534338006754673,0.000000000000267169003377337,"****"
"DC","46F-GAL4 > Lac RNAi","Repo-GAL4 Control",43,44,1.41081526725048,0.158299091568494,0.316598183136987,"ns"
"DC","46F-GAL4 Control","Repo-GAL4 > Lac RNAi",44,42,7.93038642772122,0.00000000000000218465021843801,0.000000000000013107901310628,"****"
"DC","46F-GAL4 Control","Repo-GAL4 Control",44,44,1.78784925271714,0.0738003321368681,0.221400996410604,"ns"
"DC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",42,44,-6.16344841194542,0.000000000711775744907252,0.00000000284710297962901,"****"
"SDDC","46F-GAL4 > Lac RNAi","46F-GAL4 Control",43,44,-0.337890945477249,0.735445371153166,0.735445371153166,"ns"
"SDDC","46F-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",43,42,5.98360599815059,0.00000000218250890674264,0.0000000109125445337132,"****"
"SDDC","46F-GAL4 > Lac RNAi","Repo-GAL4 Control",43,44,1.26824753217218,0.204709567508906,0.409419135017812,"ns"
"SDDC","46F-GAL4 Control","Repo-GAL4 > Lac RNAi",44,42,6.35336419867506,0.000000000210656164098553,0.00000000126393698459132,"****"
"SDDC","46F-GAL4 Control","Repo-GAL4 Control",44,44,1.61544950334798,0.106213387333273,0.318640161999818,"ns"
"SDDC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",42,44,-4.75680949156335,0.00000196676614626703,0.0000078670645850681,"****"
