".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"mean_speed_real_units","Nrv2-GAL4 > Lac RNAi","Nrv2-GAL4 Control",40,44,1.36216078732098,0.173147147902361,0.330960639634051,"ns"
"mean_speed_real_units","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",40,44,-6.79667967104558,0.0000000000107057770013961,0.0000000000535288850069805,"****"
"mean_speed_real_units","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 Control",40,45,-1.38687356537041,0.165480319817025,0.330960639634051,"ns"
"mean_speed_real_units","Nrv2-GAL4 Control","Repo-GAL4 > Lac RNAi",44,44,-8.36032364842014,0.0000000000000000625464292243199,0.000000000000000375278575345919,"****"
"mean_speed_real_units","Nrv2-GAL4 Control","Repo-GAL4 Control",44,45,-2.82512176430311,0.0047262651553877,0.0141787954661631,"*"
"mean_speed_real_units","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",44,45,5.58203879763867,0.0000000237715330292533,0.0000000950861321170131,"****"
"index_straightness","Nrv2-GAL4 > Lac RNAi","Nrv2-GAL4 Control",40,44,1.65233136064934,0.0984670196084675,0.295401058825402,"ns"
"index_straightness","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",40,44,-6.57713042551367,0.0000000000479614055531904,0.000000000191845622212762,"****"
"index_straightness","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 Control",40,45,0.2049428548017,0.837616772482999,0.837616772482999,"ns"
"index_straightness","Nrv2-GAL4 Control","Repo-GAL4 > Lac RNAi",44,44,-8.43268897531583,0.0000000000000000337811662158977,0.000000000000000202686997295386,"****"
"index_straightness","Nrv2-GAL4 Control","Repo-GAL4 Control",44,45,-1.49256113144544,0.135552104081379,0.295401058825402,"ns"
"index_straightness","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",44,45,6.98737016855797,0.00000000000280086555848193,0.0000000000140043277924096,"****"
"DC","Nrv2-GAL4 > Lac RNAi","Nrv2-GAL4 Control",40,44,-3.1777520410527,0.00148421624795074,0.00445264874385221,"**"
"DC","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",40,44,4.68406342099349,0.00000281242924510733,0.0000112497169804293,"****"
"DC","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 Control",40,45,-2.09000876459667,0.0366170123908013,0.0732340247816025,"ns"
"DC","Nrv2-GAL4 Control","Repo-GAL4 > Lac RNAi",44,44,8.05596359706472,0.000000000000000788551009636267,0.0000000000000047313060578176,"****"
"DC","Nrv2-GAL4 Control","Repo-GAL4 Control",44,45,1.1322746341796,0.257518990925,0.257518990925,"ns"
"DC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",44,45,-6.96882076473834,0.00000000000319608569117651,0.0000000000159804284558825,"****"
"SDDC","Nrv2-GAL4 > Lac RNAi","Nrv2-GAL4 Control",40,44,-3.19374569470072,0.00140439773200192,0.00702198866000958,"**"
"SDDC","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",40,44,0.810899010933376,0.417423668335048,0.458431221853275,"ns"
"SDDC","Nrv2-GAL4 > Lac RNAi","Repo-GAL4 Control",40,45,-2.03768835957257,0.0415811090491612,0.124743327147484,"ns"
"SDDC","Nrv2-GAL4 Control","Repo-GAL4 > Lac RNAi",44,44,4.10353971337933,0.0000406876571456112,0.000244125942873667,"***"
"SDDC","Nrv2-GAL4 Control","Repo-GAL4 Control",44,45,1.20238186810301,0.229215610926637,0.458431221853275,"ns"
"SDDC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",44,45,-2.92414704315558,0.00345401542587181,0.0138160617034872,"*"
