".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"mean_speed_real_units","Mdr65-GAL4 > Lac RNAi","Mdr65-GAL4 Control",41,37,4.41258732832952,1.02142573396905e-05,3.06427720190715e-05,"****"
"mean_speed_real_units","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",41,45,-1.03088939908011,0.302592688397685,0.60518537679537,"ns"
"mean_speed_real_units","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 Control",41,43,4.63014161169073,3.65415736675435e-06,1.46166294670174e-05,"****"
"mean_speed_real_units","Mdr65-GAL4 Control","Repo-GAL4 > Lac RNAi",37,45,-5.51157861844472,3.55629512957275e-08,1.77814756478638e-07,"****"
"mean_speed_real_units","Mdr65-GAL4 Control","Repo-GAL4 Control",37,43,0.0450210438696753,0.964090535376809,0.964090535376809,"ns"
"mean_speed_real_units","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",45,43,5.78288818264888,7.3428873833122e-09,4.40573242998732e-08,"****"
"index_straightness","Mdr65-GAL4 > Lac RNAi","Mdr65-GAL4 Control",41,37,1.78686954205797,0.073958576305259,0.147917152610518,"ns"
"index_straightness","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",41,45,-4.43193126061435,9.33927941432002e-06,3.73571176572801e-05,"****"
"index_straightness","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 Control",41,43,2.66267879141729,0.00775213743676065,0.023256412310282,"*"
"index_straightness","Mdr65-GAL4 Control","Repo-GAL4 > Lac RNAi",37,45,-6.137433674879,8.38652147251144e-10,4.19326073625572e-09,"****"
"index_straightness","Mdr65-GAL4 Control","Repo-GAL4 Control",37,43,0.785010714416709,0.43244728663453,0.43244728663453,"ns"
"index_straightness","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",45,43,7.21227438598723,5.50249533032095e-13,3.30149719819257e-12,"****"
"DC","Mdr65-GAL4 > Lac RNAi","Mdr65-GAL4 Control",41,37,-3.13535332637853,0.00171647238623858,0.00514941715871573,"**"
"DC","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",41,45,5.93906575980149,2.86650876675075e-09,1.1466035067003e-08,"****"
"DC","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 Control",41,43,-0.369801480879072,0.711530411760154,0.711530411760154,"ns"
"DC","Mdr65-GAL4 Control","Repo-GAL4 > Lac RNAi",37,45,8.98151274824792,2.67069162615935e-19,1.60241497569561e-18,"****"
"DC","Mdr65-GAL4 Control","Repo-GAL4 Control",37,43,2.81054946665173,0.00494569857499601,0.00989139714999203,"**"
"DC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",45,43,-6.39119663214719,1.64592561616666e-10,8.2296280808333e-10,"****"
"SDDC","Mdr65-GAL4 > Lac RNAi","Mdr65-GAL4 Control",41,37,-2.28229141590277,0.0224721410085818,0.0449442820171636,"*"
"SDDC","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 > Lac RNAi",41,45,6.18533639448066,6.197017661504e-10,3.098508830752e-09,"****"
"SDDC","Mdr65-GAL4 > Lac RNAi","Repo-GAL4 Control",41,43,1.1885008704919,0.23463613706857,0.23463613706857,"ns"
"SDDC","Mdr65-GAL4 Control","Repo-GAL4 > Lac RNAi",37,45,8.34946389458397,6.85735040961705e-17,4.11441024577023e-16,"****"
"SDDC","Mdr65-GAL4 Control","Repo-GAL4 Control",37,43,3.4648125381205,0.000530601201481534,0.0015918036044446,"**"
"SDDC","Repo-GAL4 > Lac RNAi","Repo-GAL4 Control",45,43,-5.04550641108544,4.5232172629739e-07,1.80928690518956e-06,"****"
